date_reg,company,vehicle_count
2018-01-01,Bermaz Auto Berhad,3
2018-01-02,Bermaz Auto Berhad,18
2018-01-03,Bermaz Auto Berhad,38
2018-01-04,Bermaz Auto Berhad,40
2018-01-05,Bermaz Auto Berhad,36
2018-01-06,Bermaz Auto Berhad,1
2018-01-07,Bermaz Auto Berhad,2
2018-01-08,Bermaz Auto Berhad,32
2018-01-09,Bermaz Auto Berhad,54
2018-01-10,Bermaz Auto Berhad,56
2018-01-11,Bermaz Auto Berhad,53
2018-01-12,Bermaz Auto Berhad,66
2018-01-13,Bermaz Auto Berhad,1
2018-01-14,Bermaz Auto Berhad,0
2018-01-15,Bermaz Auto Berhad,44
2018-01-16,Bermaz Auto Berhad,57
2018-01-17,Bermaz Auto Berhad,64
2018-01-18,Bermaz Auto Berhad,58
2018-01-19,Bermaz Auto Berhad,79
2018-01-20,Bermaz Auto Berhad,1
2018-01-21,Bermaz Auto Berhad,2
2018-01-22,Bermaz Auto Berhad,58
2018-01-23,Bermaz Auto Berhad,85
2018-01-24,Bermaz Auto Berhad,75
2018-01-25,Bermaz Auto Berhad,113
2018-01-26,Bermaz Auto Berhad,121
2018-01-27,Bermaz Auto Berhad,1
2018-01-28,Bermaz Auto Berhad,0
2018-01-29,Bermaz Auto Berhad,95
2018-01-30,Bermaz Auto Berhad,150
2018-01-31,Bermaz Auto Berhad,8
2018-02-01,Bermaz Auto Berhad,28
2018-02-02,Bermaz Auto Berhad,58
2018-02-03,Bermaz Auto Berhad,0
2018-02-04,Bermaz Auto Berhad,0
2018-02-05,Bermaz Auto Berhad,54
2018-02-06,Bermaz Auto Berhad,71
2018-02-07,Bermaz Auto Berhad,77
2018-02-08,Bermaz Auto Berhad,62
2018-02-09,Bermaz Auto Berhad,141
2018-02-10,Bermaz Auto Berhad,6
2018-02-11,Bermaz Auto Berhad,1
2018-02-12,Bermaz Auto Berhad,127
2018-02-13,Bermaz Auto Berhad,121
2018-02-14,Bermaz Auto Berhad,85
2018-02-15,Bermaz Auto Berhad,8
2018-02-16,Bermaz Auto Berhad,0
2018-02-17,Bermaz Auto Berhad,0
2018-02-18,Bermaz Auto Berhad,0
2018-02-19,Bermaz Auto Berhad,1
2018-02-20,Bermaz Auto Berhad,2
2018-02-21,Bermaz Auto Berhad,5
2018-02-22,Bermaz Auto Berhad,21
2018-02-23,Bermaz Auto Berhad,40
2018-02-24,Bermaz Auto Berhad,0
2018-02-25,Bermaz Auto Berhad,3
2018-02-26,Bermaz Auto Berhad,33
2018-02-27,Bermaz Auto Berhad,47
2018-02-28,Bermaz Auto Berhad,74
2018-03-01,Bermaz Auto Berhad,29
2018-03-02,Bermaz Auto Berhad,38
2018-03-03,Bermaz Auto Berhad,0
2018-03-04,Bermaz Auto Berhad,1
2018-03-05,Bermaz Auto Berhad,25
2018-03-06,Bermaz Auto Berhad,38
2018-03-07,Bermaz Auto Berhad,54
2018-03-08,Bermaz Auto Berhad,67
2018-03-09,Bermaz Auto Berhad,51
2018-03-10,Bermaz Auto Berhad,1
2018-03-11,Bermaz Auto Berhad,0
2018-03-12,Bermaz Auto Berhad,39
2018-03-13,Bermaz Auto Berhad,39
2018-03-14,Bermaz Auto Berhad,53
2018-03-15,Bermaz Auto Berhad,64
2018-03-16,Bermaz Auto Berhad,51
2018-03-17,Bermaz Auto Berhad,1
2018-03-18,Bermaz Auto Berhad,2
2018-03-19,Bermaz Auto Berhad,41
2018-03-20,Bermaz Auto Berhad,44
2018-03-21,Bermaz Auto Berhad,67
2018-03-22,Bermaz Auto Berhad,84
2018-03-23,Bermaz Auto Berhad,45
2018-03-24,Bermaz Auto Berhad,0
2018-03-25,Bermaz Auto Berhad,0
2018-03-26,Bermaz Auto Berhad,45
