date_reg,company,vehicle_count
2018-01-01,Sime Darby Berhad,3
2018-01-02,Sime Darby Berhad,52
2018-01-03,Sime Darby Berhad,56
2018-01-04,Sime Darby Berhad,68
2018-01-05,Sime Darby Berhad,63
2018-01-06,Sime Darby Berhad,4
2018-01-07,Sime Darby Berhad,10
2018-01-08,Sime Darby Berhad,59
2018-01-09,Sime Darby Berhad,49
2018-01-10,Sime Darby Berhad,65
2018-01-11,Sime Darby Berhad,89
2018-01-12,Sime Darby Berhad,75
2018-01-13,Sime Darby Berhad,2
2018-01-14,Sime Darby Berhad,8
2018-01-15,Sime Darby Berhad,59
2018-01-16,Sime Darby Berhad,67
2018-01-17,Sime Darby Berhad,70
2018-01-18,Sime Darby Berhad,99
2018-01-19,Sime Darby Berhad,88
2018-01-20,Sime Darby Berhad,3
2018-01-21,Sime Darby Berhad,2
2018-01-22,Sime Darby Berhad,72
2018-01-23,Sime Darby Berhad,82
2018-01-24,Sime Darby Berhad,103
2018-01-25,Sime Darby Berhad,84
2018-01-26,Sime Darby Berhad,122
2018-01-27,Sime Darby Berhad,28
2018-01-28,Sime Darby Berhad,5
2018-01-29,Sime Darby Berhad,170
2018-01-30,Sime Darby Berhad,176
2018-01-31,Sime Darby Berhad,16
2018-02-01,Sime Darby Berhad,32
2018-02-02,Sime Darby Berhad,97
2018-02-03,Sime Darby Berhad,14
2018-02-04,Sime Darby Berhad,6
2018-02-05,Sime Darby Berhad,75
2018-02-06,Sime Darby Berhad,106
2018-02-07,Sime Darby Berhad,129
2018-02-08,Sime Darby Berhad,112
2018-02-09,Sime Darby Berhad,168
2018-02-10,Sime Darby Berhad,3
2018-02-11,Sime Darby Berhad,6
2018-02-12,Sime Darby Berhad,190
2018-02-13,Sime Darby Berhad,177
2018-02-14,Sime Darby Berhad,193
2018-02-15,Sime Darby Berhad,42
2018-02-16,Sime Darby Berhad,0
2018-02-17,Sime Darby Berhad,0
2018-02-18,Sime Darby Berhad,0
2018-02-19,Sime Darby Berhad,5
2018-02-20,Sime Darby Berhad,48
2018-02-21,Sime Darby Berhad,56
2018-02-22,Sime Darby Berhad,73
2018-02-23,Sime Darby Berhad,78
2018-02-24,Sime Darby Berhad,4
2018-02-25,Sime Darby Berhad,4
2018-02-26,Sime Darby Berhad,88
2018-02-27,Sime Darby Berhad,88
2018-02-28,Sime Darby Berhad,113
2018-03-01,Sime Darby Berhad,76
2018-03-02,Sime Darby Berhad,66
2018-03-03,Sime Darby Berhad,5
2018-03-04,Sime Darby Berhad,5
2018-03-05,Sime Darby Berhad,61
2018-03-06,Sime Darby Berhad,115
2018-03-07,Sime Darby Berhad,99
2018-03-08,Sime Darby Berhad,79
2018-03-09,Sime Darby Berhad,72
2018-03-10,Sime Darby Berhad,1
2018-03-11,Sime Darby Berhad,3
2018-03-12,Sime Darby Berhad,59
2018-03-13,Sime Darby Berhad,83
2018-03-14,Sime Darby Berhad,84
2018-03-15,Sime Darby Berhad,84
2018-03-16,Sime Darby Berhad,68
2018-03-17,Sime Darby Berhad,4
2018-03-18,Sime Darby Berhad,7
2018-03-19,Sime Darby Berhad,68
2018-03-20,Sime Darby Berhad,115
2018-03-21,Sime Darby Berhad,91
2018-03-22,Sime Darby Berhad,88
2018-03-23,Sime Darby Berhad,98
2018-03-24,Sime Darby Berhad,8
2018-03-25,Sime Darby Berhad,2
2018-03-26,Sime Darby Berhad,114
2018-03-27,Sime Darby Berhad,128
2018-03-28,Sime Darby Berhad,146
2018-03-29,Sime Darby Berhad,114
2018-03-30,Sime Darby Berhad,96
2018-03-31,Sime Darby Berhad,2
2018-04-01,Sime Darby Berhad,5
2018-04-02,Sime Darby Berhad,36
2018-04-03,Sime Darby Berhad,33
2018-04-04,Sime Darby Berhad,75
2018-04-05,Sime Darby Berhad,80
2018-04-06,Sime Darby Berhad,168
2018-04-07,Sime Darby Berhad,5
2018-04-08,Sime Darby Berhad,3
2018-04-09,Sime Darby Berhad,148
2018-04-10,Sime Darby Berhad,147
2018-04-11,Sime Darby Berhad,272
2018-04-12,Sime Darby Berhad,166
2018-04-13,Sime Darby Berhad,87
2018-04-14,Sime Darby Berhad,0
2018-04-15,Sime Darby Berhad,7
2018-04-16,Sime Darby Berhad,69
2018-04-17,Sime Darby Berhad,71
2018-04-18,Sime Darby Berhad,87
2018-04-19,Sime Darby Berhad,110
2018-04-20,Sime Darby Berhad,95
2018-04-21,Sime Darby Berhad,0
2018-04-22,Sime Darby Berhad,6
2018-04-23,Sime Darby Berhad,70
2018-04-24,Sime Darby Berhad,95
2018-04-25,Sime Darby Berhad,129
2018-04-26,Sime Darby Berhad,144
2018-04-27,Sime Darby Berhad,167
2018-04-28,Sime Darby Berhad,3
2018-04-29,Sime Darby Berhad,15
2018-04-30,Sime Darby Berhad,111
2018-05-01,Sime Darby Berhad,0
2018-05-02,Sime Darby Berhad,59
2018-05-03,Sime Darby Berhad,84
2018-05-04,Sime Darby Berhad,102
2018-05-05,Sime Darby Berhad,7
2018-05-06,Sime Darby Berhad,6
2018-05-07,Sime Darby Berhad,61
2018-05-08,Sime Darby Berhad,110
2018-05-09,Sime Darby Berhad,0
2018-05-10,Sime Darby Berhad,5
2018-05-11,Sime Darby Berhad,0
2018-05-12,Sime Darby Berhad,1
2018-05-13,Sime Darby Berhad,0
2018-05-14,Sime Darby Berhad,54
2018-05-15,Sime Darby Berhad,80
2018-05-16,Sime Darby Berhad,65
2018-05-17,Sime Darby Berhad,48
2018-05-18,Sime Darby Berhad,47
2018-05-19,Sime Darby Berhad,1
2018-05-20,Sime Darby Berhad,3
2018-05-21,Sime Darby Berhad,27
2018-05-22,Sime Darby Berhad,42
2018-05-23,Sime Darby Berhad,23
2018-05-24,Sime Darby Berhad,14
2018-05-25,Sime Darby Berhad,16
2018-05-26,Sime Darby Berhad,0
2018-05-27,Sime Darby Berhad,1
2018-05-28,Sime Darby Berhad,14
2018-05-29,Sime Darby Berhad,0
2018-05-30,Sime Darby Berhad,7
2018-05-31,Sime Darby Berhad,9
2018-06-01,Sime Darby Berhad,297
2018-06-02,Sime Darby Berhad,11
2018-06-03,Sime Darby Berhad,5
2018-06-04,Sime Darby Berhad,158
2018-06-05,Sime Darby Berhad,209
2018-06-06,Sime Darby Berhad,198
2018-06-07,Sime Darby Berhad,236
2018-06-08,Sime Darby Berhad,311
2018-06-09,Sime Darby Berhad,4
2018-06-10,Sime Darby Berhad,7
2018-06-11,Sime Darby Berhad,186
2018-06-12,Sime Darby Berhad,260
2018-06-13,Sime Darby Berhad,250
2018-06-14,Sime Darby Berhad,136
2018-06-15,Sime Darby Berhad,0
2018-06-16,Sime Darby Berhad,0
2018-06-17,Sime Darby Berhad,0
2018-06-18,Sime Darby Berhad,32
2018-06-19,Sime Darby Berhad,44
2018-06-20,Sime Darby Berhad,59
2018-06-21,Sime Darby Berhad,95
2018-06-22,Sime Darby Berhad,97
2018-06-23,Sime Darby Berhad,1
2018-06-24,Sime Darby Berhad,5
2018-06-25,Sime Darby Berhad,113
2018-06-26,Sime Darby Berhad,122
2018-06-27,Sime Darby Berhad,128
2018-06-28,Sime Darby Berhad,182
2018-06-29,Sime Darby Berhad,241
2018-06-30,Sime Darby Berhad,17
2018-07-01,Sime Darby Berhad,5
2018-07-02,Sime Darby Berhad,111
2018-07-03,Sime Darby Berhad,100
2018-07-04,Sime Darby Berhad,130
2018-07-05,Sime Darby Berhad,155
2018-07-06,Sime Darby Berhad,223
2018-07-07,Sime Darby Berhad,8
2018-07-08,Sime Darby Berhad,4
2018-07-09,Sime Darby Berhad,83
2018-07-10,Sime Darby Berhad,92
2018-07-11,Sime Darby Berhad,120
2018-07-12,Sime Darby Berhad,113
2018-07-13,Sime Darby Berhad,117
2018-07-14,Sime Darby Berhad,3
2018-07-15,Sime Darby Berhad,6
2018-07-16,Sime Darby Berhad,106
2018-07-17,Sime Darby Berhad,115
2018-07-18,Sime Darby Berhad,117
2018-07-19,Sime Darby Berhad,139
2018-07-20,Sime Darby Berhad,149
2018-07-21,Sime Darby Berhad,3
2018-07-22,Sime Darby Berhad,7
2018-07-23,Sime Darby Berhad,111
2018-07-24,Sime Darby Berhad,132
2018-07-25,Sime Darby Berhad,162
2018-07-26,Sime Darby Berhad,196
2018-07-27,Sime Darby Berhad,254
2018-07-28,Sime Darby Berhad,16
2018-07-29,Sime Darby Berhad,3
2018-07-30,Sime Darby Berhad,201
2018-07-31,Sime Darby Berhad,185
2018-08-01,Sime Darby Berhad,93
2018-08-02,Sime Darby Berhad,137
2018-08-03,Sime Darby Berhad,112
2018-08-04,Sime Darby Berhad,6
2018-08-05,Sime Darby Berhad,5
2018-08-06,Sime Darby Berhad,94
2018-08-07,Sime Darby Berhad,112
2018-08-08,Sime Darby Berhad,147
2018-08-09,Sime Darby Berhad,158
2018-08-10,Sime Darby Berhad,124
2018-08-11,Sime Darby Berhad,3
2018-08-12,Sime Darby Berhad,8
2018-08-13,Sime Darby Berhad,101
2018-08-14,Sime Darby Berhad,134
2018-08-15,Sime Darby Berhad,152
2018-08-16,Sime Darby Berhad,189
2018-08-17,Sime Darby Berhad,194
2018-08-18,Sime Darby Berhad,5
2018-08-19,Sime Darby Berhad,7
2018-08-20,Sime Darby Berhad,177
2018-08-21,Sime Darby Berhad,213
2018-08-22,Sime Darby Berhad,0
2018-08-23,Sime Darby Berhad,201
2018-08-24,Sime Darby Berhad,251
2018-08-25,Sime Darby Berhad,46
2018-08-26,Sime Darby Berhad,16
2018-08-27,Sime Darby Berhad,370
2018-08-28,Sime Darby Berhad,288
2018-08-29,Sime Darby Berhad,345
2018-08-30,Sime Darby Berhad,411
2018-08-31,Sime Darby Berhad,4
2018-09-01,Sime Darby Berhad,0
2018-09-02,Sime Darby Berhad,0
2018-09-03,Sime Darby Berhad,58
2018-09-04,Sime Darby Berhad,58
2018-09-05,Sime Darby Berhad,87
2018-09-06,Sime Darby Berhad,69
2018-09-07,Sime Darby Berhad,80
2018-09-08,Sime Darby Berhad,0
2018-09-09,Sime Darby Berhad,0
2018-09-10,Sime Darby Berhad,3
2018-09-11,Sime Darby Berhad,0
2018-09-12,Sime Darby Berhad,55
2018-09-13,Sime Darby Berhad,91
2018-09-14,Sime Darby Berhad,77
2018-09-15,Sime Darby Berhad,1
2018-09-16,Sime Darby Berhad,0
2018-09-17,Sime Darby Berhad,3
2018-09-18,Sime Darby Berhad,73
2018-09-19,Sime Darby Berhad,88
2018-09-20,Sime Darby Berhad,119
2018-09-21,Sime Darby Berhad,112
2018-09-22,Sime Darby Berhad,4
2018-09-23,Sime Darby Berhad,5
2018-09-24,Sime Darby Berhad,117
2018-09-25,Sime Darby Berhad,154
2018-09-26,Sime Darby Berhad,199
2018-09-27,Sime Darby Berhad,233
2018-09-28,Sime Darby Berhad,175
2018-09-29,Sime Darby Berhad,3
2018-09-30,Sime Darby Berhad,11
2018-10-01,Sime Darby Berhad,39
2018-10-02,Sime Darby Berhad,55
2018-10-03,Sime Darby Berhad,64
2018-10-04,Sime Darby Berhad,93
2018-10-05,Sime Darby Berhad,55
2018-10-06,Sime Darby Berhad,0
2018-10-07,Sime Darby Berhad,3
2018-10-08,Sime Darby Berhad,50
2018-10-09,Sime Darby Berhad,61
2018-10-10,Sime Darby Berhad,67
2018-10-11,Sime Darby Berhad,61
2018-10-12,Sime Darby Berhad,54
2018-10-13,Sime Darby Berhad,3
2018-10-14,Sime Darby Berhad,7
2018-10-15,Sime Darby Berhad,65
2018-10-16,Sime Darby Berhad,48
2018-10-17,Sime Darby Berhad,72
2018-10-18,Sime Darby Berhad,67
2018-10-19,Sime Darby Berhad,76
2018-10-20,Sime Darby Berhad,0
2018-10-21,Sime Darby Berhad,4
2018-10-22,Sime Darby Berhad,58
2018-10-23,Sime Darby Berhad,64
2018-10-24,Sime Darby Berhad,72
2018-10-25,Sime Darby Berhad,102
2018-10-26,Sime Darby Berhad,110
2018-10-27,Sime Darby Berhad,2
2018-10-28,Sime Darby Berhad,3
2018-10-29,Sime Darby Berhad,63
2018-10-30,Sime Darby Berhad,133
2018-10-31,Sime Darby Berhad,191
2018-11-01,Sime Darby Berhad,80
2018-11-02,Sime Darby Berhad,145
2018-11-03,Sime Darby Berhad,1
2018-11-04,Sime Darby Berhad,3
2018-11-05,Sime Darby Berhad,59
2018-11-06,Sime Darby Berhad,2
2018-11-07,Sime Darby Berhad,62
2018-11-08,Sime Darby Berhad,59
2018-11-09,Sime Darby Berhad,64
2018-11-10,Sime Darby Berhad,2
2018-11-11,Sime Darby Berhad,2
2018-11-12,Sime Darby Berhad,43
2018-11-13,Sime Darby Berhad,59
2018-11-14,Sime Darby Berhad,61
2018-11-15,Sime Darby Berhad,54
2018-11-16,Sime Darby Berhad,91
2018-11-17,Sime Darby Berhad,1
2018-11-18,Sime Darby Berhad,3
2018-11-19,Sime Darby Berhad,69
2018-11-20,Sime Darby Berhad,0
2018-11-21,Sime Darby Berhad,64
2018-11-22,Sime Darby Berhad,83
2018-11-23,Sime Darby Berhad,94
2018-11-24,Sime Darby Berhad,4
2018-11-25,Sime Darby Berhad,6
2018-11-26,Sime Darby Berhad,113
2018-11-27,Sime Darby Berhad,93
2018-11-28,Sime Darby Berhad,147
2018-11-29,Sime Darby Berhad,87
2018-11-30,Sime Darby Berhad,127
2018-12-01,Sime Darby Berhad,0
2018-12-02,Sime Darby Berhad,14
2018-12-03,Sime Darby Berhad,45
2018-12-04,Sime Darby Berhad,39
2018-12-05,Sime Darby Berhad,46
2018-12-06,Sime Darby Berhad,59
2018-12-07,Sime Darby Berhad,199
