date_reg,company,vehicle_count
2018-01-01,Sime UMW Holdings Berhad,30
2018-01-02,Sime UMW Holdings Berhad,365
2018-01-03,Sime UMW Holdings Berhad,536
2018-01-04,Sime UMW Holdings Berhad,561
2018-01-05,Sime UMW Holdings Berhad,387
2018-01-06,Sime UMW Holdings Berhad,20
2018-01-07,Sime UMW Holdings Berhad,40
2018-01-08,Sime UMW Holdings Berhad,390
2018-01-09,Sime UMW Holdings Berhad,505
2018-01-10,Sime UMW Holdings Berhad,648
2018-01-11,Sime UMW Holdings Berhad,757
2018-01-12,Sime UMW Holdings Berhad,794
2018-01-13,Sime UMW Holdings Berhad,66
2018-01-14,Sime UMW Holdings Berhad,53
2018-01-15,Sime UMW Holdings Berhad,732
2018-01-16,Sime UMW Holdings Berhad,1065
2018-01-17,Sime UMW Holdings Berhad,1200
2018-01-18,Sime UMW Holdings Berhad,1365
2018-01-19,Sime UMW Holdings Berhad,1018
2018-01-20,Sime UMW Holdings Berhad,183
2018-01-21,Sime UMW Holdings Berhad,54
2018-01-22,Sime UMW Holdings Berhad,1105
2018-01-23,Sime UMW Holdings Berhad,1135
2018-01-24,Sime UMW Holdings Berhad,1192
2018-01-25,Sime UMW Holdings Berhad,1269
2018-01-26,Sime UMW Holdings Berhad,1702
2018-01-27,Sime UMW Holdings Berhad,235
2018-01-28,Sime UMW Holdings Berhad,100
2018-01-29,Sime UMW Holdings Berhad,1914
2018-01-30,Sime UMW Holdings Berhad,3339
2018-01-31,Sime UMW Holdings Berhad,1542
2018-02-01,Sime UMW Holdings Berhad,356
2018-02-02,Sime UMW Holdings Berhad,559
2018-02-03,Sime UMW Holdings Berhad,40
2018-02-04,Sime UMW Holdings Berhad,65
2018-02-05,Sime UMW Holdings Berhad,664
2018-02-06,Sime UMW Holdings Berhad,802
2018-02-07,Sime UMW Holdings Berhad,788
2018-02-08,Sime UMW Holdings Berhad,1207
2018-02-09,Sime UMW Holdings Berhad,1306
2018-02-10,Sime UMW Holdings Berhad,130
2018-02-11,Sime UMW Holdings Berhad,87
2018-02-12,Sime UMW Holdings Berhad,1569
2018-02-13,Sime UMW Holdings Berhad,1968
2018-02-14,Sime UMW Holdings Berhad,1438
2018-02-15,Sime UMW Holdings Berhad,549
2018-02-16,Sime UMW Holdings Berhad,0
2018-02-17,Sime UMW Holdings Berhad,0
2018-02-18,Sime UMW Holdings Berhad,1
2018-02-19,Sime UMW Holdings Berhad,261
2018-02-20,Sime UMW Holdings Berhad,536
2018-02-21,Sime UMW Holdings Berhad,754
2018-02-22,Sime UMW Holdings Berhad,844
2018-02-23,Sime UMW Holdings Berhad,862
2018-02-24,Sime UMW Holdings Berhad,118
2018-02-25,Sime UMW Holdings Berhad,56
2018-02-26,Sime UMW Holdings Berhad,893
2018-02-27,Sime UMW Holdings Berhad,2295
2018-02-28,Sime UMW Holdings Berhad,4137
2018-03-01,Sime UMW Holdings Berhad,464
2018-03-02,Sime UMW Holdings Berhad,418
2018-03-03,Sime UMW Holdings Berhad,4
2018-03-04,Sime UMW Holdings Berhad,28
2018-03-05,Sime UMW Holdings Berhad,401
2018-03-06,Sime UMW Holdings Berhad,564
2018-03-07,Sime UMW Holdings Berhad,628
2018-03-08,Sime UMW Holdings Berhad,800
2018-03-09,Sime UMW Holdings Berhad,759
2018-03-10,Sime UMW Holdings Berhad,82
2018-03-11,Sime UMW Holdings Berhad,48
2018-03-12,Sime UMW Holdings Berhad,830
2018-03-13,Sime UMW Holdings Berhad,976
2018-03-14,Sime UMW Holdings Berhad,1103
2018-03-15,Sime UMW Holdings Berhad,1162
2018-03-16,Sime UMW Holdings Berhad,1110
2018-03-17,Sime UMW Holdings Berhad,147
2018-03-18,Sime UMW Holdings Berhad,60
2018-03-19,Sime UMW Holdings Berhad,1051
2018-03-20,Sime UMW Holdings Berhad,1167
2018-03-21,Sime UMW Holdings Berhad,1361
2018-03-22,Sime UMW Holdings Berhad,1289
2018-03-23,Sime UMW Holdings Berhad,991
2018-03-24,Sime UMW Holdings Berhad,95
2018-03-25,Sime UMW Holdings Berhad,31
2018-03-26,Sime UMW Holdings Berhad,1255
2018-03-27,Sime UMW Holdings Berhad,1672
2018-03-28,Sime UMW Holdings Berhad,1940
2018-03-29,Sime UMW Holdings Berhad,2348
2018-03-30,Sime UMW Holdings Berhad,1793
2018-03-31,Sime UMW Holdings Berhad,2285
2018-04-01,Sime UMW Holdings Berhad,25
2018-04-02,Sime UMW Holdings Berhad,448
2018-04-03,Sime UMW Holdings Berhad,457
2018-04-04,Sime UMW Holdings Berhad,564
2018-04-05,Sime UMW Holdings Berhad,638
2018-04-06,Sime UMW Holdings Berhad,707
2018-04-07,Sime UMW Holdings Berhad,28
2018-04-08,Sime UMW Holdings Berhad,38
2018-04-09,Sime UMW Holdings Berhad,809
2018-04-10,Sime UMW Holdings Berhad,944
2018-04-11,Sime UMW Holdings Berhad,1185
2018-04-12,Sime UMW Holdings Berhad,1332
2018-04-13,Sime UMW Holdings Berhad,774
2018-04-14,Sime UMW Holdings Berhad,136
2018-04-15,Sime UMW Holdings Berhad,41
2018-04-16,Sime UMW Holdings Berhad,1197
2018-04-17,Sime UMW Holdings Berhad,1383
2018-04-18,Sime UMW Holdings Berhad,1539
2018-04-19,Sime UMW Holdings Berhad,1465
2018-04-20,Sime UMW Holdings Berhad,1311
2018-04-21,Sime UMW Holdings Berhad,105
2018-04-22,Sime UMW Holdings Berhad,64
2018-04-23,Sime UMW Holdings Berhad,1233
2018-04-24,Sime UMW Holdings Berhad,1436
2018-04-25,Sime UMW Holdings Berhad,1634
2018-04-26,Sime UMW Holdings Berhad,1820
2018-04-27,Sime UMW Holdings Berhad,1731
2018-04-28,Sime UMW Holdings Berhad,555
2018-04-29,Sime UMW Holdings Berhad,215
2018-04-30,Sime UMW Holdings Berhad,3082
2018-05-01,Sime UMW Holdings Berhad,0
2018-05-02,Sime UMW Holdings Berhad,486
2018-05-03,Sime UMW Holdings Berhad,738
2018-05-04,Sime UMW Holdings Berhad,661
2018-05-05,Sime UMW Holdings Berhad,24
2018-05-06,Sime UMW Holdings Berhad,36
2018-05-07,Sime UMW Holdings Berhad,592
2018-05-08,Sime UMW Holdings Berhad,840
2018-05-09,Sime UMW Holdings Berhad,2
2018-05-10,Sime UMW Holdings Berhad,13
2018-05-11,Sime UMW Holdings Berhad,106
2018-05-12,Sime UMW Holdings Berhad,34
2018-05-13,Sime UMW Holdings Berhad,2
2018-05-14,Sime UMW Holdings Berhad,715
2018-05-15,Sime UMW Holdings Berhad,958
2018-05-16,Sime UMW Holdings Berhad,1239
2018-05-17,Sime UMW Holdings Berhad,779
2018-05-18,Sime UMW Holdings Berhad,742
2018-05-19,Sime UMW Holdings Berhad,99
2018-05-20,Sime UMW Holdings Berhad,33
2018-05-21,Sime UMW Holdings Berhad,1049
2018-05-22,Sime UMW Holdings Berhad,1416
2018-05-23,Sime UMW Holdings Berhad,1125
2018-05-24,Sime UMW Holdings Berhad,876
2018-05-25,Sime UMW Holdings Berhad,1379
2018-05-26,Sime UMW Holdings Berhad,415
2018-05-27,Sime UMW Holdings Berhad,245
2018-05-28,Sime UMW Holdings Berhad,2768
2018-05-29,Sime UMW Holdings Berhad,443
2018-05-30,Sime UMW Holdings Berhad,3085
2018-05-31,Sime UMW Holdings Berhad,5213
2018-06-01,Sime UMW Holdings Berhad,654
2018-06-02,Sime UMW Holdings Berhad,62
2018-06-03,Sime UMW Holdings Berhad,27
2018-06-04,Sime UMW Holdings Berhad,590
