date_reg,company,vehicle_count
2018-01-01,Tan Chong Motor Holdings Berhad,0
2018-01-02,Tan Chong Motor Holdings Berhad,20
2018-01-03,Tan Chong Motor Holdings Berhad,23
2018-01-04,Tan Chong Motor Holdings Berhad,25
2018-01-05,Tan Chong Motor Holdings Berhad,34
2018-01-06,Tan Chong Motor Holdings Berhad,1
2018-01-07,Tan Chong Motor Holdings Berhad,3
2018-01-08,Tan Chong Motor Holdings Berhad,31
2018-01-09,Tan Chong Motor Holdings Berhad,41
2018-01-10,Tan Chong Motor Holdings Berhad,60
2018-01-11,Tan Chong Motor Holdings Berhad,52
2018-01-12,Tan Chong Motor Holdings Berhad,61
2018-01-13,Tan Chong Motor Holdings Berhad,6
2018-01-14,Tan Chong Motor Holdings Berhad,1
2018-01-15,Tan Chong Motor Holdings Berhad,56
2018-01-16,Tan Chong Motor Holdings Berhad,71
2018-01-17,Tan Chong Motor Holdings Berhad,78
2018-01-18,Tan Chong Motor Holdings Berhad,85
2018-01-19,Tan Chong Motor Holdings Berhad,73
2018-01-20,Tan Chong Motor Holdings Berhad,17
2018-01-21,Tan Chong Motor Holdings Berhad,6
2018-01-22,Tan Chong Motor Holdings Berhad,114
2018-01-23,Tan Chong Motor Holdings Berhad,100
2018-01-24,Tan Chong Motor Holdings Berhad,113
2018-01-25,Tan Chong Motor Holdings Berhad,146
2018-01-26,Tan Chong Motor Holdings Berhad,181
2018-01-27,Tan Chong Motor Holdings Berhad,34
2018-01-28,Tan Chong Motor Holdings Berhad,6
2018-01-29,Tan Chong Motor Holdings Berhad,249
2018-01-30,Tan Chong Motor Holdings Berhad,567
2018-01-31,Tan Chong Motor Holdings Berhad,171
2018-02-01,Tan Chong Motor Holdings Berhad,19
2018-02-02,Tan Chong Motor Holdings Berhad,38
2018-02-03,Tan Chong Motor Holdings Berhad,4
2018-02-04,Tan Chong Motor Holdings Berhad,2
2018-02-05,Tan Chong Motor Holdings Berhad,40
2018-02-06,Tan Chong Motor Holdings Berhad,46
2018-02-07,Tan Chong Motor Holdings Berhad,52
2018-02-08,Tan Chong Motor Holdings Berhad,64
2018-02-09,Tan Chong Motor Holdings Berhad,105
2018-02-10,Tan Chong Motor Holdings Berhad,20
2018-02-11,Tan Chong Motor Holdings Berhad,10
2018-02-12,Tan Chong Motor Holdings Berhad,124
2018-02-13,Tan Chong Motor Holdings Berhad,154
2018-02-14,Tan Chong Motor Holdings Berhad,107
2018-02-15,Tan Chong Motor Holdings Berhad,21
2018-02-16,Tan Chong Motor Holdings Berhad,0
2018-02-17,Tan Chong Motor Holdings Berhad,0
2018-02-18,Tan Chong Motor Holdings Berhad,0
2018-02-19,Tan Chong Motor Holdings Berhad,19
2018-02-20,Tan Chong Motor Holdings Berhad,23
2018-02-21,Tan Chong Motor Holdings Berhad,64
2018-02-22,Tan Chong Motor Holdings Berhad,73
2018-02-23,Tan Chong Motor Holdings Berhad,71
2018-02-24,Tan Chong Motor Holdings Berhad,10
2018-02-25,Tan Chong Motor Holdings Berhad,5
2018-02-26,Tan Chong Motor Holdings Berhad,87
2018-02-27,Tan Chong Motor Holdings Berhad,211
2018-02-28,Tan Chong Motor Holdings Berhad,309
2018-03-01,Tan Chong Motor Holdings Berhad,11
2018-03-02,Tan Chong Motor Holdings Berhad,10
2018-03-03,Tan Chong Motor Holdings Berhad,3
2018-03-04,Tan Chong Motor Holdings Berhad,0
2018-03-05,Tan Chong Motor Holdings Berhad,33
2018-03-06,Tan Chong Motor Holdings Berhad,24
2018-03-07,Tan Chong Motor Holdings Berhad,50
2018-03-08,Tan Chong Motor Holdings Berhad,38
2018-03-09,Tan Chong Motor Holdings Berhad,46
2018-03-10,Tan Chong Motor Holdings Berhad,4
2018-03-11,Tan Chong Motor Holdings Berhad,6
2018-03-12,Tan Chong Motor Holdings Berhad,58
2018-03-13,Tan Chong Motor Holdings Berhad,49
2018-03-14,Tan Chong Motor Holdings Berhad,65
2018-03-15,Tan Chong Motor Holdings Berhad,86
2018-03-16,Tan Chong Motor Holdings Berhad,83
2018-03-17,Tan Chong Motor Holdings Berhad,13
2018-03-18,Tan Chong Motor Holdings Berhad,2
2018-03-19,Tan Chong Motor Holdings Berhad,90
2018-03-20,Tan Chong Motor Holdings Berhad,93
2018-03-21,Tan Chong Motor Holdings Berhad,81
2018-03-22,Tan Chong Motor Holdings Berhad,104
2018-03-23,Tan Chong Motor Holdings Berhad,108
2018-03-24,Tan Chong Motor Holdings Berhad,26
2018-03-25,Tan Chong Motor Holdings Berhad,4
2018-03-26,Tan Chong Motor Holdings Berhad,108
2018-03-27,Tan Chong Motor Holdings Berhad,143
2018-03-28,Tan Chong Motor Holdings Berhad,216
2018-03-29,Tan Chong Motor Holdings Berhad,293
2018-03-30,Tan Chong Motor Holdings Berhad,285
2018-03-31,Tan Chong Motor Holdings Berhad,124
2018-04-01,Tan Chong Motor Holdings Berhad,1
2018-04-02,Tan Chong Motor Holdings Berhad,9
2018-04-03,Tan Chong Motor Holdings Berhad,20
2018-04-04,Tan Chong Motor Holdings Berhad,23
2018-04-05,Tan Chong Motor Holdings Berhad,29
2018-04-06,Tan Chong Motor Holdings Berhad,58
2018-04-07,Tan Chong Motor Holdings Berhad,7
2018-04-08,Tan Chong Motor Holdings Berhad,1
2018-04-09,Tan Chong Motor Holdings Berhad,36
2018-04-10,Tan Chong Motor Holdings Berhad,53
2018-04-11,Tan Chong Motor Holdings Berhad,55
2018-04-12,Tan Chong Motor Holdings Berhad,69
2018-04-13,Tan Chong Motor Holdings Berhad,54
2018-04-14,Tan Chong Motor Holdings Berhad,17
2018-04-15,Tan Chong Motor Holdings Berhad,8
2018-04-16,Tan Chong Motor Holdings Berhad,103
2018-04-17,Tan Chong Motor Holdings Berhad,99
2018-04-18,Tan Chong Motor Holdings Berhad,125
2018-04-19,Tan Chong Motor Holdings Berhad,98
2018-04-20,Tan Chong Motor Holdings Berhad,77
2018-04-21,Tan Chong Motor Holdings Berhad,6
2018-04-22,Tan Chong Motor Holdings Berhad,3
2018-04-23,Tan Chong Motor Holdings Berhad,83
2018-04-24,Tan Chong Motor Holdings Berhad,116
2018-04-25,Tan Chong Motor Holdings Berhad,143
2018-04-26,Tan Chong Motor Holdings Berhad,145
2018-04-27,Tan Chong Motor Holdings Berhad,189
2018-04-28,Tan Chong Motor Holdings Berhad,75
2018-04-29,Tan Chong Motor Holdings Berhad,22
2018-04-30,Tan Chong Motor Holdings Berhad,311
2018-05-01,Tan Chong Motor Holdings Berhad,4
2018-05-02,Tan Chong Motor Holdings Berhad,74
2018-05-03,Tan Chong Motor Holdings Berhad,40
2018-05-04,Tan Chong Motor Holdings Berhad,47
2018-05-05,Tan Chong Motor Holdings Berhad,2
