company,month,vehicle_count
DRB-HICOM Berhad,2018-01-01,16282
DRB-HICOM Berhad,2018-02-01,13871
DRB-HICOM Berhad,2018-03-01,16545
DRB-HICOM Berhad,2018-04-01,14525
DRB-HICOM Berhad,2018-05-01,13672
DRB-HICOM Berhad,2018-06-01,23042
DRB-HICOM Berhad,2018-07-01,24905
DRB-HICOM Berhad,2018-08-01,25796
DRB-HICOM Berhad,2018-09-01,11227
DRB-HICOM Berhad,2018-10-01,14760
DRB-HICOM Berhad,2018-11-01,14308
DRB-HICOM Berhad,2018-12-01,16685
DRB-HICOM Berhad,2019-01-01,17843
DRB-HICOM Berhad,2019-02-01,13255
DRB-HICOM Berhad,2019-03-01,17926
DRB-HICOM Berhad,2019-04-01,16067
DRB-HICOM Berhad,2019-05-01,24270
DRB-HICOM Berhad,2019-06-01,14969
DRB-HICOM Berhad,2019-07-01,19109
DRB-HICOM Berhad,2019-08-01,19288
DRB-HICOM Berhad,2019-09-01,17092
DRB-HICOM Berhad,2019-10-01,18474
DRB-HICOM Berhad,2019-11-01,19203
DRB-HICOM Berhad,2019-12-01,21518
DRB-HICOM Berhad,2020-01-01,17079
DRB-HICOM Berhad,2020-02-01,13891
DRB-HICOM Berhad,2020-03-01,7847
DRB-HICOM Berhad,2020-04-01,53
DRB-HICOM Berhad,2020-05-01,9740
DRB-HICOM Berhad,2020-06-01,15296
DRB-HICOM Berhad,2020-07-01,22867
DRB-HICOM Berhad,2020-08-01,20114
DRB-HICOM Berhad,2020-09-01,21325
DRB-HICOM Berhad,2020-10-01,19102
DRB-HICOM Berhad,2020-11-01,22911
DRB-HICOM Berhad,2020-12-01,27833
DRB-HICOM Berhad,2021-01-01,10265
DRB-HICOM Berhad,2021-02-01,18713
DRB-HICOM Berhad,2021-03-01,27338
DRB-HICOM Berhad,2021-04-01,23598
DRB-HICOM Berhad,2021-05-01,17346
DRB-HICOM Berhad,2021-06-01,736
DRB-HICOM Berhad,2021-07-01,3938
DRB-HICOM Berhad,2021-08-01,6044
DRB-HICOM Berhad,2021-09-01,18005
DRB-HICOM Berhad,2021-10-01,23451
DRB-HICOM Berhad,2021-11-01,25859
DRB-HICOM Berhad,2021-12-01,26241
DRB-HICOM Berhad,2022-01-01,12549
DRB-HICOM Berhad,2022-02-01,17775
DRB-HICOM Berhad,2022-03-01,28528
DRB-HICOM Berhad,2022-04-01,19102
DRB-HICOM Berhad,2022-05-01,18961
DRB-HICOM Berhad,2022-06-01,27125
DRB-HICOM Berhad,2022-07-01,20746
DRB-HICOM Berhad,2022-08-01,27960
DRB-HICOM Berhad,2022-09-01,26980
DRB-HICOM Berhad,2022-10-01,22489
DRB-HICOM Berhad,2022-11-01,21840
DRB-HICOM Berhad,2022-12-01,26423
DRB-HICOM Berhad,2023-01-01,18179
DRB-HICOM Berhad,2023-02-01,24733
DRB-HICOM Berhad,2023-03-01,28479
DRB-HICOM Berhad,2023-04-01,17910
DRB-HICOM Berhad,2023-05-01,24212
DRB-HICOM Berhad,2023-06-01,23908
DRB-HICOM Berhad,2023-07-01,22780
DRB-HICOM Berhad,2023-08-01,25949
DRB-HICOM Berhad,2023-09-01,22066
DRB-HICOM Berhad,2023-10-01,23871
DRB-HICOM Berhad,2023-11-01,23875
DRB-HICOM Berhad,2023-12-01,27256
DRB-HICOM Berhad,2024-01-01,23679
DRB-HICOM Berhad,2024-02-01,22724
DRB-HICOM Berhad,2024-03-01,24578
DRB-HICOM Berhad,2024-04-01,18859
DRB-HICOM Berhad,2024-05-01,21686
DRB-HICOM Berhad,2024-06-01,20596
DRB-HICOM Berhad,2024-07-01,25438
DRB-HICOM Berhad,2024-08-01,22788
DRB-HICOM Berhad,2024-09-01,19660
DRB-HICOM Berhad,2024-10-01,21884
DRB-HICOM Berhad,2024-11-01,21357
DRB-HICOM Berhad,2024-12-01,26658
DRB-HICOM Berhad,2025-01-01,15939
DRB-HICOM Berhad,2025-02-01,20639
DRB-HICOM Berhad,2025-03-01,26087
