company,month,vehicle_count
Sime Darby Berhad,2018-01-01,1849
Sime Darby Berhad,2018-02-01,1907
Sime Darby Berhad,2018-03-01,2041
Sime Darby Berhad,2018-04-01,2404
Sime Darby Berhad,2018-05-01,886
Sime Darby Berhad,2018-06-01,3404
Sime Darby Berhad,2018-07-01,3166
Sime Darby Berhad,2018-08-01,4103
Sime Darby Berhad,2018-09-01,1875
Sime Darby Berhad,2018-10-01,1742
Sime Darby Berhad,2018-11-01,1678
Sime Darby Berhad,2018-12-01,2027
Sime Darby Berhad,2019-01-01,1852
Sime Darby Berhad,2019-02-01,1450
Sime Darby Berhad,2019-03-01,2112
Sime Darby Berhad,2019-04-01,2011
Sime Darby Berhad,2019-05-01,2011
Sime Darby Berhad,2019-06-01,1881
Sime Darby Berhad,2019-07-01,1795
Sime Darby Berhad,2019-08-01,2125
Sime Darby Berhad,2019-09-01,1582
Sime Darby Berhad,2019-10-01,1908
Sime Darby Berhad,2019-11-01,1918
Sime Darby Berhad,2019-12-01,2210
Sime Darby Berhad,2020-01-01,2071
Sime Darby Berhad,2020-02-01,1737
Sime Darby Berhad,2020-03-01,898
Sime Darby Berhad,2020-04-01,5
Sime Darby Berhad,2020-05-01,900
Sime Darby Berhad,2020-06-01,1733
Sime Darby Berhad,2020-07-01,2796
Sime Darby Berhad,2020-08-01,2153
Sime Darby Berhad,2020-09-01,2611
Sime Darby Berhad,2020-10-01,2043
Sime Darby Berhad,2020-11-01,2092
Sime Darby Berhad,2020-12-01,2617
Sime Darby Berhad,2021-01-01,1256
Sime Darby Berhad,2021-02-01,1483
Sime Darby Berhad,2021-03-01,2092
Sime Darby Berhad,2021-04-01,1873
Sime Darby Berhad,2021-05-01,1509
Sime Darby Berhad,2021-06-01,77
Sime Darby Berhad,2021-07-01,890
Sime Darby Berhad,2021-08-01,1305
Sime Darby Berhad,2021-09-01,2068
Sime Darby Berhad,2021-10-01,2321
Sime Darby Berhad,2021-11-01,2498
Sime Darby Berhad,2021-12-01,3396
Sime Darby Berhad,2022-01-01,1907
Sime Darby Berhad,2022-02-01,1684
Sime Darby Berhad,2022-03-01,2711
Sime Darby Berhad,2022-04-01,2578
Sime Darby Berhad,2022-05-01,2267
Sime Darby Berhad,2022-06-01,2773
Sime Darby Berhad,2022-07-01,1877
Sime Darby Berhad,2022-08-01,1844
Sime Darby Berhad,2022-09-01,2448
Sime Darby Berhad,2022-10-01,2183
Sime Darby Berhad,2022-11-01,2500
Sime Darby Berhad,2022-12-01,2963
Sime Darby Berhad,2023-01-01,1992
Sime Darby Berhad,2023-02-01,2656
Sime Darby Berhad,2023-03-01,3620
Sime Darby Berhad,2023-04-01,2287
Sime Darby Berhad,2023-05-01,3589
Sime Darby Berhad,2023-06-01,3028
Sime Darby Berhad,2023-07-01,2743
Sime Darby Berhad,2023-08-01,3081
Sime Darby Berhad,2023-09-01,3607
Sime Darby Berhad,2023-10-01,4862
Sime Darby Berhad,2023-11-01,4583
Sime Darby Berhad,2023-12-01,5015
Sime Darby Berhad,2024-01-01,4397
Sime Darby Berhad,2024-02-01,3958
Sime Darby Berhad,2024-03-01,4830
Sime Darby Berhad,2024-04-01,4178
Sime Darby Berhad,2024-05-01,3900
Sime Darby Berhad,2024-06-01,3612
Sime Darby Berhad,2024-07-01,3917
Sime Darby Berhad,2024-08-01,4174
Sime Darby Berhad,2024-09-01,4632
Sime Darby Berhad,2024-10-01,4832
Sime Darby Berhad,2024-11-01,4700
Sime Darby Berhad,2024-12-01,6460
Sime Darby Berhad,2025-01-01,3916
Sime Darby Berhad,2025-02-01,4495
Sime Darby Berhad,2025-03-01,5697
