company,month,vehicle_count
Sime UMW Holdings Berhad,2018-01-01,24302
Sime UMW Holdings Berhad,2018-02-01,22285
Sime UMW Holdings Berhad,2018-03-01,26862
Sime UMW Holdings Berhad,2018-04-01,26896
Sime UMW Holdings Berhad,2018-05-01,26113
Sime UMW Holdings Berhad,2018-06-01,32030
Sime UMW Holdings Berhad,2018-07-01,35777
Sime UMW Holdings Berhad,2018-08-01,30539
Sime UMW Holdings Berhad,2018-09-01,14066
Sime UMW Holdings Berhad,2018-10-01,25287
Sime UMW Holdings Berhad,2018-11-01,25554
Sime UMW Holdings Berhad,2018-12-01,22941
Sime UMW Holdings Berhad,2019-01-01,26000
Sime UMW Holdings Berhad,2019-02-01,21324
Sime UMW Holdings Berhad,2019-03-01,31080
Sime UMW Holdings Berhad,2019-04-01,28924
Sime UMW Holdings Berhad,2019-05-01,32055
Sime UMW Holdings Berhad,2019-06-01,21529
Sime UMW Holdings Berhad,2019-07-01,27748
Sime UMW Holdings Berhad,2019-08-01,27122
Sime UMW Holdings Berhad,2019-09-01,23396
Sime UMW Holdings Berhad,2019-10-01,30244
Sime UMW Holdings Berhad,2019-11-01,27901
Sime UMW Holdings Berhad,2019-12-01,27535
Sime UMW Holdings Berhad,2020-01-01,24776
Sime UMW Holdings Berhad,2020-02-01,24528
Sime UMW Holdings Berhad,2020-03-01,12667
Sime UMW Holdings Berhad,2020-04-01,61
Sime UMW Holdings Berhad,2020-05-01,12105
Sime UMW Holdings Berhad,2020-06-01,26872
Sime UMW Holdings Berhad,2020-07-01,32581
Sime UMW Holdings Berhad,2020-08-01,29803
Sime UMW Holdings Berhad,2020-09-01,32764
Sime UMW Holdings Berhad,2020-10-01,34929
Sime UMW Holdings Berhad,2020-11-01,30570
Sime UMW Holdings Berhad,2020-12-01,35449
Sime UMW Holdings Berhad,2021-01-01,22007
Sime UMW Holdings Berhad,2021-02-01,22475
Sime UMW Holdings Berhad,2021-03-01,33735
Sime UMW Holdings Berhad,2021-04-01,31501
Sime UMW Holdings Berhad,2021-05-01,27169
Sime UMW Holdings Berhad,2021-06-01,1148
Sime UMW Holdings Berhad,2021-07-01,2920
Sime UMW Holdings Berhad,2021-08-01,10286
Sime UMW Holdings Berhad,2021-09-01,23275
Sime UMW Holdings Berhad,2021-10-01,38085
Sime UMW Holdings Berhad,2021-11-01,31099
Sime UMW Holdings Berhad,2021-12-01,34754
Sime UMW Holdings Berhad,2022-01-01,27345
Sime UMW Holdings Berhad,2022-02-01,24703
Sime UMW Holdings Berhad,2022-03-01,37149
Sime UMW Holdings Berhad,2022-04-01,35252
Sime UMW Holdings Berhad,2022-05-01,28080
Sime UMW Holdings Berhad,2022-06-01,33088
Sime UMW Holdings Berhad,2022-07-01,27320
Sime UMW Holdings Berhad,2022-08-01,37054
Sime UMW Holdings Berhad,2022-09-01,35756
Sime UMW Holdings Berhad,2022-10-01,36743
Sime UMW Holdings Berhad,2022-11-01,40752
Sime UMW Holdings Berhad,2022-12-01,43264
Sime UMW Holdings Berhad,2023-01-01,30310
Sime UMW Holdings Berhad,2023-02-01,35539
Sime UMW Holdings Berhad,2023-03-01,43398
Sime UMW Holdings Berhad,2023-04-01,27973
Sime UMW Holdings Berhad,2023-05-01,34826
Sime UMW Holdings Berhad,2023-06-01,33273
Sime UMW Holdings Berhad,2023-07-01,38663
Sime UMW Holdings Berhad,2023-08-01,43497
Sime UMW Holdings Berhad,2023-09-01,39893
Sime UMW Holdings Berhad,2023-10-01,46749
Sime UMW Holdings Berhad,2023-11-01,44228
Sime UMW Holdings Berhad,2023-12-01,43144
Sime UMW Holdings Berhad,2024-01-01,38114
Sime UMW Holdings Berhad,2024-02-01,36497
Sime UMW Holdings Berhad,2024-03-01,40694
Sime UMW Holdings Berhad,2024-04-01,36766
Sime UMW Holdings Berhad,2024-05-01,43892
Sime UMW Holdings Berhad,2024-06-01,33260
Sime UMW Holdings Berhad,2024-07-01,43437
Sime UMW Holdings Berhad,2024-08-01,45480
Sime UMW Holdings Berhad,2024-09-01,33422
Sime UMW Holdings Berhad,2024-10-01,44828
Sime UMW Holdings Berhad,2024-11-01,42130
Sime UMW Holdings Berhad,2024-12-01,46945
Sime UMW Holdings Berhad,2025-01-01,30824
Sime UMW Holdings Berhad,2025-02-01,39226
Sime UMW Holdings Berhad,2025-03-01,41247
