company,month,vehicle_count
Bermaz Auto Berhad,2018-01-01,1411
Bermaz Auto Berhad,2018-02-01,1065
Bermaz Auto Berhad,2018-03-01,1176
Bermaz Auto Berhad,2018-04-01,1034
Bermaz Auto Berhad,2018-05-01,515
Bermaz Auto Berhad,2018-06-01,1519
Bermaz Auto Berhad,2018-07-01,1026
Bermaz Auto Berhad,2018-08-01,2031
Bermaz Auto Berhad,2018-09-01,1209
Bermaz Auto Berhad,2018-10-01,1759
Bermaz Auto Berhad,2018-11-01,1892
Bermaz Auto Berhad,2018-12-01,1456
Bermaz Auto Berhad,2019-01-01,1574
Bermaz Auto Berhad,2019-02-01,741
Bermaz Auto Berhad,2019-03-01,1015
Bermaz Auto Berhad,2019-04-01,1153
Bermaz Auto Berhad,2019-05-01,1174
Bermaz Auto Berhad,2019-06-01,691
Bermaz Auto Berhad,2019-07-01,965
Bermaz Auto Berhad,2019-08-01,1061
Bermaz Auto Berhad,2019-09-01,557
Bermaz Auto Berhad,2019-10-01,794
Bermaz Auto Berhad,2019-11-01,880
Bermaz Auto Berhad,2019-12-01,890
Bermaz Auto Berhad,2020-01-01,1193
Bermaz Auto Berhad,2020-02-01,1073
Bermaz Auto Berhad,2020-03-01,777
Bermaz Auto Berhad,2020-04-01,7
Bermaz Auto Berhad,2020-05-01,512
Bermaz Auto Berhad,2020-06-01,934
Bermaz Auto Berhad,2020-07-01,1551
Bermaz Auto Berhad,2020-08-01,1195
Bermaz Auto Berhad,2020-09-01,1200
Bermaz Auto Berhad,2020-10-01,1522
Bermaz Auto Berhad,2020-11-01,1385
Bermaz Auto Berhad,2020-12-01,1847
Bermaz Auto Berhad,2021-01-01,419
Bermaz Auto Berhad,2021-02-01,714
Bermaz Auto Berhad,2021-03-01,1339
Bermaz Auto Berhad,2021-04-01,1716
Bermaz Auto Berhad,2021-05-01,1528
Bermaz Auto Berhad,2021-06-01,66
Bermaz Auto Berhad,2021-07-01,223
Bermaz Auto Berhad,2021-08-01,771
Bermaz Auto Berhad,2021-09-01,911
Bermaz Auto Berhad,2021-10-01,1284
Bermaz Auto Berhad,2021-11-01,1446
Bermaz Auto Berhad,2021-12-01,1347
Bermaz Auto Berhad,2022-01-01,1104
Bermaz Auto Berhad,2022-02-01,707
Bermaz Auto Berhad,2022-03-01,2566
Bermaz Auto Berhad,2022-04-01,2139
Bermaz Auto Berhad,2022-05-01,1575
Bermaz Auto Berhad,2022-06-01,797
Bermaz Auto Berhad,2022-07-01,1470
Bermaz Auto Berhad,2022-08-01,1691
Bermaz Auto Berhad,2022-09-01,1284
Bermaz Auto Berhad,2022-10-01,1261
Bermaz Auto Berhad,2022-11-01,1555
Bermaz Auto Berhad,2022-12-01,1876
Bermaz Auto Berhad,2023-01-01,1933
Bermaz Auto Berhad,2023-02-01,1821
Bermaz Auto Berhad,2023-03-01,2449
Bermaz Auto Berhad,2023-04-01,1752
Bermaz Auto Berhad,2023-05-01,2119
Bermaz Auto Berhad,2023-06-01,2024
Bermaz Auto Berhad,2023-07-01,2098
Bermaz Auto Berhad,2023-08-01,2215
Bermaz Auto Berhad,2023-09-01,1660
Bermaz Auto Berhad,2023-10-01,2003
Bermaz Auto Berhad,2023-11-01,1742
Bermaz Auto Berhad,2023-12-01,1684
Bermaz Auto Berhad,2024-01-01,1544
Bermaz Auto Berhad,2024-02-01,1896
Bermaz Auto Berhad,2024-03-01,1791
Bermaz Auto Berhad,2024-04-01,1468
Bermaz Auto Berhad,2024-05-01,1600
Bermaz Auto Berhad,2024-06-01,1361
Bermaz Auto Berhad,2024-07-01,1637
Bermaz Auto Berhad,2024-08-01,1256
Bermaz Auto Berhad,2024-09-01,1086
Bermaz Auto Berhad,2024-10-01,1324
Bermaz Auto Berhad,2024-11-01,1130
Bermaz Auto Berhad,2024-12-01,1524
Bermaz Auto Berhad,2025-01-01,943
Bermaz Auto Berhad,2025-02-01,863
Bermaz Auto Berhad,2025-03-01,1167
DRB-HICOM Berhad,2018-01-01,16282
DRB-HICOM Berhad,2018-02-01,13871
DRB-HICOM Berhad,2018-03-01,16545
DRB-HICOM Berhad,2018-04-01,14525
DRB-HICOM Berhad,2018-05-01,13672
DRB-HICOM Berhad,2018-06-01,23042
DRB-HICOM Berhad,2018-07-01,24905
DRB-HICOM Berhad,2018-08-01,25796
DRB-HICOM Berhad,2018-09-01,11227
DRB-HICOM Berhad,2018-10-01,14760
DRB-HICOM Berhad,2018-11-01,14308
DRB-HICOM Berhad,2018-12-01,16685
DRB-HICOM Berhad,2019-01-01,17843
DRB-HICOM Berhad,2019-02-01,13255
DRB-HICOM Berhad,2019-03-01,17926
DRB-HICOM Berhad,2019-04-01,16067
DRB-HICOM Berhad,2019-05-01,24270
DRB-HICOM Berhad,2019-06-01,14969
DRB-HICOM Berhad,2019-07-01,19109
DRB-HICOM Berhad,2019-08-01,19288
DRB-HICOM Berhad,2019-09-01,17092
DRB-HICOM Berhad,2019-10-01,18474
DRB-HICOM Berhad,2019-11-01,19203
DRB-HICOM Berhad,2019-12-01,21518
DRB-HICOM Berhad,2020-01-01,17079
DRB-HICOM Berhad,2020-02-01,13891
DRB-HICOM Berhad,2020-03-01,7847
DRB-HICOM Berhad,2020-04-01,53
DRB-HICOM Berhad,2020-05-01,9740
DRB-HICOM Berhad,2020-06-01,15296
DRB-HICOM Berhad,2020-07-01,22867
DRB-HICOM Berhad,2020-08-01,20114
DRB-HICOM Berhad,2020-09-01,21325
DRB-HICOM Berhad,2020-10-01,19102
DRB-HICOM Berhad,2020-11-01,22911
DRB-HICOM Berhad,2020-12-01,27833
DRB-HICOM Berhad,2021-01-01,10265
DRB-HICOM Berhad,2021-02-01,18713
DRB-HICOM Berhad,2021-03-01,27338
DRB-HICOM Berhad,2021-04-01,23598
DRB-HICOM Berhad,2021-05-01,17346
DRB-HICOM Berhad,2021-06-01,736
DRB-HICOM Berhad,2021-07-01,3938
DRB-HICOM Berhad,2021-08-01,6044
DRB-HICOM Berhad,2021-09-01,18005
