date,subclass,cars_cpi,subclass name,opr,lf,lf_employed,lf_unemployed,lf_outside,p_rate,ep_ratio,u_rate
2018-01-01,07111,98.5,Cars,3.0,15187.0,14670.5,516.5,7074.8,68.2,65.9,3.4
2018-02-01,07111,98.5,Cars,3.25,15230.0,14721.5,508.5,7112.3,68.2,65.9,3.3
2018-03-01,07111,98.5,Cars,3.25,15241.2,14732.5,508.7,7115.0,68.2,65.9,3.3
2018-04-01,07111,98.5,Cars,3.25,15313.1,14803.1,510.0,7130.9,68.2,66.0,3.3
2018-05-01,07111,98.5,Cars,3.25,15357.5,14852.6,504.8,7097.1,68.4,66.1,3.3
2018-06-01,07111,94.1,Cars,3.25,15379.0,14863.2,515.8,7062.2,68.5,66.2,3.4
2018-07-01,07111,94.1,Cars,3.25,15401.0,14882.4,518.6,7044.5,68.6,66.3,3.4
2018-08-01,07111,94.1,Cars,3.25,15421.4,14896.5,525.0,7133.9,68.4,66.0,3.4
2018-09-01,07111,95.6,Cars,3.25,15442.9,14926.5,516.4,7096.8,68.5,66.2,3.3
2018-10-01,07111,95.5,Cars,3.25,15450.0,14937.1,512.9,7093.7,68.5,66.3,3.3
2018-11-01,07111,95.5,Cars,3.25,15457.5,14941.3,516.2,7151.2,68.4,66.1,3.3
2018-12-01,07111,95.7,Cars,3.25,15500.1,14986.0,514.2,7120.1,68.5,66.2,3.3
2019-01-01,07111,95.7,Cars,3.25,15508.5,14992.8,515.6,7095.9,68.6,66.3,3.3
2019-02-01,07111,95.7,Cars,3.25,15543.2,15026.8,516.4,7145.9,68.5,66.2,3.3
2019-03-01,07111,95.7,Cars,3.25,15556.6,15035.2,521.3,7169.4,68.4,66.2,3.4
2019-04-01,07111,95.7,Cars,3.25,15613.1,15089.8,523.3,7184.4,68.5,66.2,3.4
2019-05-01,07111,95.7,Cars,3.25,15642.3,15122.5,519.8,7190.0,68.5,66.2,3.3
2019-06-01,07111,95.7,Cars,3.0,15655.9,15134.6,521.4,7156.7,68.6,66.3,3.3
2019-07-01,07111,95.7,Cars,3.0,15704.6,15179.8,524.8,7207.7,68.5,66.2,3.3
2019-08-01,07111,95.6,Cars,3.0,15706.0,15185.8,520.2,7172.4,68.6,66.4,3.3
2019-09-01,07111,95.6,Cars,3.0,15751.2,15229.9,521.4,7159.8,68.7,66.5,3.3
2019-10-01,07111,95.6,Cars,3.0,15777.7,15265.6,512.1,7175.0,68.7,66.5,3.2
2019-11-01,07111,95.6,Cars,3.0,15828.9,15315.0,513.9,7174.2,68.8,66.6,3.2
2019-12-01,07111,95.5,Cars,3.0,15803.0,15286.0,517.0,7129.8,68.9,66.7,3.3
2020-01-01,07111,95.5,Cars,3.0,15829.3,15317.6,511.7,7128.9,68.9,66.7,3.2
2020-02-01,07111,95.5,Cars,2.75,15869.8,15344.5,525.2,7224.0,68.7,66.4,3.3
2020-03-01,07111,95.5,Cars,2.75,15842.9,15232.4,610.5,7239.8,68.6,66.0,3.8
2020-04-01,07111,95.5,Cars,2.5,15712.2,14933.4,778.8,7345.1,68.1,64.8,5.0
2020-05-01,07111,95.5,Cars,2.5,15714.0,14887.9,826.1,7392.1,68.0,64.4,5.3
2020-06-01,07111,94.1,Cars,2.0,15763.5,14990.2,773.2,7398.5,68.1,64.7,4.9
2020-07-01,07111,94.1,Cars,2.0,15818.5,15073.4,745.1,7399.8,68.1,64.9,4.7
