Date,Date,Financial Result,Financial Result,Financial Result,Financial Result,Financial Ratio,Financial Ratio,Per Share Item,Per Share Item,Per Share Item,Performance,Performance,Unnamed: 13_level_0,Unnamed: 14_level_0,Unnamed: 15_level_0,Unnamed: 16_level_0,Unnamed: 17_level_0,Unnamed: 18_level_0,Unnamed: 19_level_0,Unnamed: 20_level_0,Unnamed: 21_level_0,Unnamed: 22_level_0,Unnamed: 23_level_0,Unnamed: 24_level_0,Unnamed: 25_level_0,Unnamed: 26_level_0,Unnamed: 27_level_0,Unnamed: 28_level_0,Unnamed: 29_level_0,Unnamed: 30_level_0,Unnamed: 31_level_0,Unnamed: 32_level_0,Unnamed: 33_level_0,Unnamed: 34_level_0,Unnamed: 35_level_0,Unnamed: 36_level_0,Unnamed: 37_level_0
Ann. Date,Quarter,Revenue,PBT,NP,NP to SH,NP Margin,ROE,EPS,DPS,NAPS,QoQ,YoY,Unnamed: 13_level_1,Unnamed: 14_level_1,Unnamed: 15_level_1,Unnamed: 16_level_1,Unnamed: 17_level_1,Unnamed: 18_level_1,Unnamed: 19_level_1,Unnamed: 20_level_1,Unnamed: 21_level_1,Unnamed: 22_level_1,Unnamed: 23_level_1,Unnamed: 24_level_1,Unnamed: 25_level_1,Unnamed: 26_level_1,Unnamed: 27_level_1,Unnamed: 28_level_1,Unnamed: 29_level_1,Unnamed: 30_level_1,Unnamed: 31_level_1,Unnamed: 32_level_1,Unnamed: 33_level_1,Unnamed: 34_level_1,Unnamed: 35_level_1,Unnamed: 36_level_1,Unnamed: 37_level_1
Financial Year: 30-Apr-2025,Financial Year: 30-Apr-2025,Financial Year: 30-Apr-2025,Financial Year: 30-Apr-2025,Financial Year: 30-Apr-2025,Financial Year: 30-Apr-2025,Financial Year: 30-Apr-2025,Financial Year: 30-Apr-2025,Financial Year: 30-Apr-2025,Financial Year: 30-Apr-2025,Financial Year: 30-Apr-2025,Financial Year: 30-Apr-2025,Financial Year: 30-Apr-2025,Financial Year: 30-Apr-2025,Financial Year: 30-Apr-2025,Financial Year: 30-Apr-2025,Financial Year: 30-Apr-2025,Financial Year: 30-Apr-2025,Financial Year: 30-Apr-2025,Financial Year: 30-Apr-2025,Financial Year: 30-Apr-2025,Financial Year: 30-Apr-2025,Financial Year: 30-Apr-2025,Financial Year: 30-Apr-2025,Financial Year: 30-Apr-2025,Financial Year: 30-Apr-2025,Financial Year: 30-Apr-2025,Financial Year: 30-Apr-2025,Financial Year: 30-Apr-2025,Financial Year: 30-Apr-2025,Financial Year: 30-Apr-2025,Financial Year: 30-Apr-2025,Financial Year: 30-Apr-2025,Financial Year: 30-Apr-2025,Financial Year: 30-Apr-2025,Financial Year: 30-Apr-2025,Financial Year: 30-Apr-2025,Financial Year: 30-Apr-2025
12-Mar-2025,31-Jan-2025,602080,34832,26227,24144,4.36%,3.71%,2.07,1.75,0.5584,-40.16%,-65.75%,,,,,,,,,,,,,,,,,,,,,,,,,
12-Dec-2024,31-Oct-2024,646861,57050,42711,40348,6.60%,5.41%,3.45,10.00,0.6374,-42.54%,-55.22%,,,,,,,,,,,,,,,,,,,,,,,,,
11-Sep-2024,31-Jul-2024,846180,97769,75378,70217,8.91%,9.40%,6.01,3.50,0.6398,-22.17%,-29.94%,,,,,,,,,,,,,,,,,,,,,,,,,
Financial Year: 30-Apr-2024,Financial Year: 30-Apr-2024,Financial Year: 30-Apr-2024,Financial Year: 30-Apr-2024,Financial Year: 30-Apr-2024,Financial Year: 30-Apr-2024,Financial Year: 30-Apr-2024,Financial Year: 30-Apr-2024,Financial Year: 30-Apr-2024,Financial Year: 30-Apr-2024,Financial Year: 30-Apr-2024,Financial Year: 30-Apr-2024,Financial Year: 30-Apr-2024,Financial Year: 30-Apr-2024,Financial Year: 30-Apr-2024,Financial Year: 30-Apr-2024,Financial Year: 30-Apr-2024,Financial Year: 30-Apr-2024,Financial Year: 30-Apr-2024,Financial Year: 30-Apr-2024,Financial Year: 30-Apr-2024,Financial Year: 30-Apr-2024,Financial Year: 30-Apr-2024,Financial Year: 30-Apr-2024,Financial Year: 30-Apr-2024,Financial Year: 30-Apr-2024,Financial Year: 30-Apr-2024,Financial Year: 30-Apr-2024,Financial Year: 30-Apr-2024,Financial Year: 30-Apr-2024,Financial Year: 30-Apr-2024,Financial Year: 30-Apr-2024,Financial Year: 30-Apr-2024,Financial Year: 30-Apr-2024,Financial Year: 30-Apr-2024,Financial Year: 30-Apr-2024,Financial Year: 30-Apr-2024,Financial Year: 30-Apr-2024
11-Jun-2024,30-Apr-2024,937525,130570,99583,90224,10.62%,10.99%,7.73,11.75,0.7033,27.97%,-10.33%,,,,,,,,,,,,,,,,,,,,,,,,,
13-Mar-2024,31-Jan-2024,896505,95069,74525,70503,8.31%,9.00%,6.04,4.25,0.6708,-21.75%,-19.23%,,,,,,,,,,,,,,,,,,,,,,,,,
12-Dec-2023,31-Oct-2023,1006951,122834,95721,90096,9.51%,11.71%,7.73,5.00,0.6604,-10.10%,37.19%,,,,,,,,,,,,,,,,,,,,,,,,,
12-Sep-2023,31-Jul-2023,1089278,140667,107901,100219,9.91%,13.61%,8.59,5.00,0.631,-0.40%,99.80%,,,,,,,,,,,,,,,,,,,,,,,,,
Financial Year: 30-Apr-2023,Financial Year: 30-Apr-2023,Financial Year: 30-Apr-2023,Financial Year: 30-Apr-2023,Financial Year: 30-Apr-2023,Financial Year: 30-Apr-2023,Financial Year: 30-Apr-2023,Financial Year: 30-Apr-2023,Financial Year: 30-Apr-2023,Financial Year: 30-Apr-2023,Financial Year: 30-Apr-2023,Financial Year: 30-Apr-2023,Financial Year: 30-Apr-2023,Financial Year: 30-Apr-2023,Financial Year: 30-Apr-2023,Financial Year: 30-Apr-2023,Financial Year: 30-Apr-2023,Financial Year: 30-Apr-2023,Financial Year: 30-Apr-2023,Financial Year: 30-Apr-2023,Financial Year: 30-Apr-2023,Financial Year: 30-Apr-2023,Financial Year: 30-Apr-2023,Financial Year: 30-Apr-2023,Financial Year: 30-Apr-2023,Financial Year: 30-Apr-2023,Financial Year: 30-Apr-2023,Financial Year: 30-Apr-2023,Financial Year: 30-Apr-2023,Financial Year: 30-Apr-2023,Financial Year: 30-Apr-2023,Financial Year: 30-Apr-2023,Financial Year: 30-Apr-2023,Financial Year: 30-Apr-2023,Financial Year: 30-Apr-2023,Financial Year: 30-Apr-2023,Financial Year: 30-Apr-2023,Financial Year: 30-Apr-2023
12-Jun-2023,30-Apr-2023,1072399,139533,107614,100622,10.03%,13.21%,8.63,11.00,0.6536,15.28%,27.85%,,,,,,,,,,,,,,,,,,,,,,,,,
13-Mar-2023,31-Jan-2023,975967,115516,92184,87288,9.45%,12.34%,7.50,4.50,0.6078,32.91%,114.41%,,,,,,,,,,,,,,,,,,,,,,,,,
08-Dec-2022,31-Oct-2022,782969,91589,70808,65673,9.04%,9.94%,5.65,3.50,0.5688,30.93%,152.21%,,,,,,,,,,,,,,,,,,,,,,,,,
12-Sep-2022,31-Jul-2022,716869,74566,56616,50159,7.90%,7.96%,4.32,3.00,0.542,-36.27%,388.55%,,,,,,,,,,,,,,,,,,,,,,,,,
Financial Year: 30-Apr-2022,Financial Year: 30-Apr-2022,Financial Year: 30-Apr-2022,Financial Year: 30-Apr-2022,Financial Year: 30-Apr-2022,Financial Year: 30-Apr-2022,Financial Year: 30-Apr-2022,Financial Year: 30-Apr-2022,Financial Year: 30-Apr-2022,Financial Year: 30-Apr-2022,Financial Year: 30-Apr-2022,Financial Year: 30-Apr-2022,Financial Year: 30-Apr-2022,Financial Year: 30-Apr-2022,Financial Year: 30-Apr-2022,Financial Year: 30-Apr-2022,Financial Year: 30-Apr-2022,Financial Year: 30-Apr-2022,Financial Year: 30-Apr-2022,Financial Year: 30-Apr-2022,Financial Year: 30-Apr-2022,Financial Year: 30-Apr-2022,Financial Year: 30-Apr-2022,Financial Year: 30-Apr-2022,Financial Year: 30-Apr-2022,Financial Year: 30-Apr-2022,Financial Year: 30-Apr-2022,Financial Year: 30-Apr-2022,Financial Year: 30-Apr-2022,Financial Year: 30-Apr-2022,Financial Year: 30-Apr-2022,Financial Year: 30-Apr-2022,Financial Year: 30-Apr-2022,Financial Year: 30-Apr-2022,Financial Year: 30-Apr-2022,Financial Year: 30-Apr-2022,Financial Year: 30-Apr-2022,Financial Year: 30-Apr-2022
13-Jun-2022,30-Apr-2022,897361,115432,80845,78704,9.01%,12.41%,6.77,4.50,0.5458,93.32%,17.77%,,,,,,,,,,,,,,,,,,,,,,,,,
10-Mar-2022,31-Jan-2022,623130,55112,42722,40711,6.86%,7.01%,3.50,2.25,0.4996,56.35%,23.06%,,,,,,,,,,,,,,,,,,,,,,,,,
13-Dec-2021,31-Oct-2021,483838,33549,24922,26039,5.15%,4.68%,2.24,1.50,0.4794,153.62%,5.04%,,,,,,,,,,,,,,,,,,,,,,,,,
13-Sep-2021,31-Jul-2021,320792,14477,10340,10267,3.22%,1.91%,0.88,0.50,0.4633,-84.64%,11.05%,,,,,,,,,,,,,,,,,,,,,,,,,
