Date,Date,Financial Result,Financial Result,Financial Result,Financial Result,Financial Ratio,Financial Ratio,Per Share Item,Per Share Item,Per Share Item,Performance,Performance,Unnamed: 13_level_0,Unnamed: 14_level_0,Unnamed: 15_level_0,Unnamed: 16_level_0,Unnamed: 17_level_0,Unnamed: 18_level_0,Unnamed: 19_level_0,Unnamed: 20_level_0,Unnamed: 21_level_0,Unnamed: 22_level_0,Unnamed: 23_level_0,Unnamed: 24_level_0,Unnamed: 25_level_0,Unnamed: 26_level_0,Unnamed: 27_level_0,Unnamed: 28_level_0,Unnamed: 29_level_0,Unnamed: 30_level_0,Unnamed: 31_level_0,Unnamed: 32_level_0,Unnamed: 33_level_0,Unnamed: 34_level_0,Unnamed: 35_level_0,Unnamed: 36_level_0,Unnamed: 37_level_0
Ann. Date,Quarter,Revenue,PBT,NP,NP to SH,NP Margin,ROE,EPS,DPS,NAPS,QoQ,YoY,Unnamed: 13_level_1,Unnamed: 14_level_1,Unnamed: 15_level_1,Unnamed: 16_level_1,Unnamed: 17_level_1,Unnamed: 18_level_1,Unnamed: 19_level_1,Unnamed: 20_level_1,Unnamed: 21_level_1,Unnamed: 22_level_1,Unnamed: 23_level_1,Unnamed: 24_level_1,Unnamed: 25_level_1,Unnamed: 26_level_1,Unnamed: 27_level_1,Unnamed: 28_level_1,Unnamed: 29_level_1,Unnamed: 30_level_1,Unnamed: 31_level_1,Unnamed: 32_level_1,Unnamed: 33_level_1,Unnamed: 34_level_1,Unnamed: 35_level_1,Unnamed: 36_level_1,Unnamed: 37_level_1
Financial Year: 31-Dec-2024,Financial Year: 31-Dec-2024,Financial Year: 31-Dec-2024,Financial Year: 31-Dec-2024,Financial Year: 31-Dec-2024,Financial Year: 31-Dec-2024,Financial Year: 31-Dec-2024,Financial Year: 31-Dec-2024,Financial Year: 31-Dec-2024,Financial Year: 31-Dec-2024,Financial Year: 31-Dec-2024,Financial Year: 31-Dec-2024,Financial Year: 31-Dec-2024,Financial Year: 31-Dec-2024,Financial Year: 31-Dec-2024,Financial Year: 31-Dec-2024,Financial Year: 31-Dec-2024,Financial Year: 31-Dec-2024,Financial Year: 31-Dec-2024,Financial Year: 31-Dec-2024,Financial Year: 31-Dec-2024,Financial Year: 31-Dec-2024,Financial Year: 31-Dec-2024,Financial Year: 31-Dec-2024,Financial Year: 31-Dec-2024,Financial Year: 31-Dec-2024,Financial Year: 31-Dec-2024,Financial Year: 31-Dec-2024,Financial Year: 31-Dec-2024,Financial Year: 31-Dec-2024,Financial Year: 31-Dec-2024,Financial Year: 31-Dec-2024,Financial Year: 31-Dec-2024,Financial Year: 31-Dec-2024,Financial Year: 31-Dec-2024,Financial Year: 31-Dec-2024,Financial Year: 31-Dec-2024,Financial Year: 31-Dec-2024
27-Feb-2025,31-Dec-2024,3965734,-35170,-56371,-46615,-1.42%,-0.63%,-2.41,0.00,3.83,-780.69%,-276.14%,,,,,,,,,,,,,,,,,,,,,,,,,
21-Nov-2024,30-Sep-2024,4133736,45864,11122,-5293,0.27%,-0.07%,-0.27,0.00,3.85,69.00%,-107.48%,,,,,,,,,,,,,,,,,,,,,,,,,
28-Aug-2024,30-Jun-2024,3758377,25934,2172,-17076,0.06%,-0.23%,-0.88,0.00,3.86,-118.65%,-150.66%,,,,,,,,,,,,,,,,,,,,,,,,,
23-May-2024,31-Mar-2024,4332917,210762,148849,91538,3.44%,1.19%,4.73,0.00,3.98,245.88%,-15.17%,,,,,,,,,,,,,,,,,,,,,,,,,
Financial Year: 31-Dec-2023,Financial Year: 31-Dec-2023,Financial Year: 31-Dec-2023,Financial Year: 31-Dec-2023,Financial Year: 31-Dec-2023,Financial Year: 31-Dec-2023,Financial Year: 31-Dec-2023,Financial Year: 31-Dec-2023,Financial Year: 31-Dec-2023,Financial Year: 31-Dec-2023,Financial Year: 31-Dec-2023,Financial Year: 31-Dec-2023,Financial Year: 31-Dec-2023,Financial Year: 31-Dec-2023,Financial Year: 31-Dec-2023,Financial Year: 31-Dec-2023,Financial Year: 31-Dec-2023,Financial Year: 31-Dec-2023,Financial Year: 31-Dec-2023,Financial Year: 31-Dec-2023,Financial Year: 31-Dec-2023,Financial Year: 31-Dec-2023,Financial Year: 31-Dec-2023,Financial Year: 31-Dec-2023,Financial Year: 31-Dec-2023,Financial Year: 31-Dec-2023,Financial Year: 31-Dec-2023,Financial Year: 31-Dec-2023,Financial Year: 31-Dec-2023,Financial Year: 31-Dec-2023,Financial Year: 31-Dec-2023,Financial Year: 31-Dec-2023,Financial Year: 31-Dec-2023,Financial Year: 31-Dec-2023,Financial Year: 31-Dec-2023,Financial Year: 31-Dec-2023,Financial Year: 31-Dec-2023,Financial Year: 31-Dec-2023
29-Feb-2024,31-Dec-2023,3769285,45668,40442,26465,1.07%,0.35%,1.37,0.00,3.93,-62.62%,126.45%,,,,,,,,,,,,,,,,,,,,,,,,,
23-Nov-2023,30-Sep-2023,3996174,115489,120725,70800,3.02%,0.94%,3.66,0.00,3.91,110.03%,-50.82%,,,,,,,,,,,,,,,,,,,,,,,,,
24-Aug-2023,30-Jun-2023,3981517,84945,74607,33709,1.87%,0.45%,1.74,0.00,3.87,-68.76%,-80.12%,,,,,,,,,,,,,,,,,,,,,,,,,
26-May-2023,31-Mar-2023,4103571,200766,158571,107907,3.86%,1.44%,5.58,0.00,3.88,207.84%,519.22%,,,,,,,,,,,,,,,,,,,,,,,,,
Financial Year: 31-Dec-2022,Financial Year: 31-Dec-2022,Financial Year: 31-Dec-2022,Financial Year: 31-Dec-2022,Financial Year: 31-Dec-2022,Financial Year: 31-Dec-2022,Financial Year: 31-Dec-2022,Financial Year: 31-Dec-2022,Financial Year: 31-Dec-2022,Financial Year: 31-Dec-2022,Financial Year: 31-Dec-2022,Financial Year: 31-Dec-2022,Financial Year: 31-Dec-2022,Financial Year: 31-Dec-2022,Financial Year: 31-Dec-2022,Financial Year: 31-Dec-2022,Financial Year: 31-Dec-2022,Financial Year: 31-Dec-2022,Financial Year: 31-Dec-2022,Financial Year: 31-Dec-2022,Financial Year: 31-Dec-2022,Financial Year: 31-Dec-2022,Financial Year: 31-Dec-2022,Financial Year: 31-Dec-2022,Financial Year: 31-Dec-2022,Financial Year: 31-Dec-2022,Financial Year: 31-Dec-2022,Financial Year: 31-Dec-2022,Financial Year: 31-Dec-2022,Financial Year: 31-Dec-2022,Financial Year: 31-Dec-2022,Financial Year: 31-Dec-2022,Financial Year: 31-Dec-2022,Financial Year: 31-Dec-2022,Financial Year: 31-Dec-2022,Financial Year: 31-Dec-2022,Financial Year: 31-Dec-2022,Financial Year: 31-Dec-2022
21-Feb-2023,31-Dec-2022,4347633,-73125,-79505,-100062,-1.83%,-1.36%,-5.18,0.00,3.81,-169.51%,-185.18%,,,,,,,,,,,,,,,,,,,,,,,,,
24-Nov-2022,30-Sep-2022,4540778,249960,221829,143953,4.89%,1.94%,7.45,0.00,3.83,-15.10%,180.22%,,,,,,,,,,,,,,,,,,,,,,,,,
25-Aug-2022,30-Jun-2022,3554047,229155,192597,169561,5.42%,2.33%,8.77,0.00,3.77,758.75%,177.96%,,,,,,,,,,,,,,,,,,,,,,,,,
26-May-2022,31-Mar-2022,3069558,4002,-43798,-25740,-1.43%,-0.36%,-1.33,0.00,3.71,-121.91%,-51.77%,,,,,,,,,,,,,,,,,,,,,,,,,
Financial Year: 31-Dec-2021,Financial Year: 31-Dec-2021,Financial Year: 31-Dec-2021,Financial Year: 31-Dec-2021,Financial Year: 31-Dec-2021,Financial Year: 31-Dec-2021,Financial Year: 31-Dec-2021,Financial Year: 31-Dec-2021,Financial Year: 31-Dec-2021,Financial Year: 31-Dec-2021,Financial Year: 31-Dec-2021,Financial Year: 31-Dec-2021,Financial Year: 31-Dec-2021,Financial Year: 31-Dec-2021,Financial Year: 31-Dec-2021,Financial Year: 31-Dec-2021,Financial Year: 31-Dec-2021,Financial Year: 31-Dec-2021,Financial Year: 31-Dec-2021,Financial Year: 31-Dec-2021,Financial Year: 31-Dec-2021,Financial Year: 31-Dec-2021,Financial Year: 31-Dec-2021,Financial Year: 31-Dec-2021,Financial Year: 31-Dec-2021,Financial Year: 31-Dec-2021,Financial Year: 31-Dec-2021,Financial Year: 31-Dec-2021,Financial Year: 31-Dec-2021,Financial Year: 31-Dec-2021,Financial Year: 31-Dec-2021,Financial Year: 31-Dec-2021,Financial Year: 31-Dec-2021,Financial Year: 31-Dec-2021,Financial Year: 31-Dec-2021,Financial Year: 31-Dec-2021,Financial Year: 31-Dec-2021,Financial Year: 31-Dec-2021
24-Feb-2022,31-Dec-2021,4124193,153371,183276,117472,4.44%,1.63%,6.08,0.00,3.73,165.47%,-88.09%,,,,,,,,,,,,,,,,,,,,,,,,,
18-Nov-2021,30-Sep-2021,2119955,-201420,-245445,-179438,-11.58%,-2.52%,-9.28,0.00,3.68,17.50%,-477.78%,,,,,,,,,,,,,,,,,,,,,,,,,
