Date,Date,Financial Result,Financial Result,Financial Result,Financial Result,Financial Ratio,Financial Ratio,Per Share Item,Per Share Item,Per Share Item,Performance,Performance,Unnamed: 13_level_0,Unnamed: 14_level_0,Unnamed: 15_level_0,Unnamed: 16_level_0,Unnamed: 17_level_0,Unnamed: 18_level_0,Unnamed: 19_level_0,Unnamed: 20_level_0,Unnamed: 21_level_0,Unnamed: 22_level_0,Unnamed: 23_level_0,Unnamed: 24_level_0,Unnamed: 25_level_0,Unnamed: 26_level_0,Unnamed: 27_level_0,Unnamed: 28_level_0,Unnamed: 29_level_0,Unnamed: 30_level_0,Unnamed: 31_level_0,Unnamed: 32_level_0,Unnamed: 33_level_0,Unnamed: 34_level_0,Unnamed: 35_level_0,Unnamed: 36_level_0,Unnamed: 37_level_0
Ann. Date,Quarter,Revenue,PBT,NP,NP to SH,NP Margin,ROE,EPS,DPS,NAPS,QoQ,YoY,Unnamed: 13_level_1,Unnamed: 14_level_1,Unnamed: 15_level_1,Unnamed: 16_level_1,Unnamed: 17_level_1,Unnamed: 18_level_1,Unnamed: 19_level_1,Unnamed: 20_level_1,Unnamed: 21_level_1,Unnamed: 22_level_1,Unnamed: 23_level_1,Unnamed: 24_level_1,Unnamed: 25_level_1,Unnamed: 26_level_1,Unnamed: 27_level_1,Unnamed: 28_level_1,Unnamed: 29_level_1,Unnamed: 30_level_1,Unnamed: 31_level_1,Unnamed: 32_level_1,Unnamed: 33_level_1,Unnamed: 34_level_1,Unnamed: 35_level_1,Unnamed: 36_level_1,Unnamed: 37_level_1
Financial Year: 30-Jun-2025,Financial Year: 30-Jun-2025,Financial Year: 30-Jun-2025,Financial Year: 30-Jun-2025,Financial Year: 30-Jun-2025,Financial Year: 30-Jun-2025,Financial Year: 30-Jun-2025,Financial Year: 30-Jun-2025,Financial Year: 30-Jun-2025,Financial Year: 30-Jun-2025,Financial Year: 30-Jun-2025,Financial Year: 30-Jun-2025,Financial Year: 30-Jun-2025,Financial Year: 30-Jun-2025,Financial Year: 30-Jun-2025,Financial Year: 30-Jun-2025,Financial Year: 30-Jun-2025,Financial Year: 30-Jun-2025,Financial Year: 30-Jun-2025,Financial Year: 30-Jun-2025,Financial Year: 30-Jun-2025,Financial Year: 30-Jun-2025,Financial Year: 30-Jun-2025,Financial Year: 30-Jun-2025,Financial Year: 30-Jun-2025,Financial Year: 30-Jun-2025,Financial Year: 30-Jun-2025,Financial Year: 30-Jun-2025,Financial Year: 30-Jun-2025,Financial Year: 30-Jun-2025,Financial Year: 30-Jun-2025,Financial Year: 30-Jun-2025,Financial Year: 30-Jun-2025,Financial Year: 30-Jun-2025,Financial Year: 30-Jun-2025,Financial Year: 30-Jun-2025,Financial Year: 30-Jun-2025,Financial Year: 30-Jun-2025
24-Feb-2025,31-Dec-2024,17726000,555000,407000,305000,2.30%,1.65%,4.50,4.00,2.72,-61.87%,-86.67%,,,,,,,,,,,,,,,,,,,,,,,,,
28-Nov-2024,30-Sep-2024,18264000,1057000,884000,800000,4.84%,4.38%,11.70,0.00,2.67,798.88%,35.82%,,,,,,,,,,,,,,,,,,,,,,,,,
Financial Year: 30-Jun-2024,Financial Year: 30-Jun-2024,Financial Year: 30-Jun-2024,Financial Year: 30-Jun-2024,Financial Year: 30-Jun-2024,Financial Year: 30-Jun-2024,Financial Year: 30-Jun-2024,Financial Year: 30-Jun-2024,Financial Year: 30-Jun-2024,Financial Year: 30-Jun-2024,Financial Year: 30-Jun-2024,Financial Year: 30-Jun-2024,Financial Year: 30-Jun-2024,Financial Year: 30-Jun-2024,Financial Year: 30-Jun-2024,Financial Year: 30-Jun-2024,Financial Year: 30-Jun-2024,Financial Year: 30-Jun-2024,Financial Year: 30-Jun-2024,Financial Year: 30-Jun-2024,Financial Year: 30-Jun-2024,Financial Year: 30-Jun-2024,Financial Year: 30-Jun-2024,Financial Year: 30-Jun-2024,Financial Year: 30-Jun-2024,Financial Year: 30-Jun-2024,Financial Year: 30-Jun-2024,Financial Year: 30-Jun-2024,Financial Year: 30-Jun-2024,Financial Year: 30-Jun-2024,Financial Year: 30-Jun-2024,Financial Year: 30-Jun-2024,Financial Year: 30-Jun-2024,Financial Year: 30-Jun-2024,Financial Year: 30-Jun-2024,Financial Year: 30-Jun-2024,Financial Year: 30-Jun-2024,Financial Year: 30-Jun-2024
27-Aug-2024,30-Jun-2024,18793000,398000,151000,89000,0.80%,0.46%,1.30,10.00,2.84,-73.82%,-85.69%,,,,,,,,,,,,,,,,,,,,,,,,,
23-May-2024,31-Mar-2024,18835000,602000,440000,340000,2.34%,0.02%,5.00,0.00,2.81,-85.14%,41.67%,,,,,,,,,,,,,,,,,,,,,,,,,
21-Feb-2024,31-Dec-2023,15548000,452000,2340000,2288000,15.05%,11.99%,33.60,3.00,2.80,288.46%,488.17%,,,,,,,,,,,,,,,,,,,,,,,,,
27-Nov-2023,30-Sep-2023,13980000,728000,598000,589000,4.28%,3.54%,8.60,0.00,2.44,-5.31%,184.54%,,,,,,,,,,,,,,,,,,,,,,,,,
Financial Year: 30-Jun-2023,Financial Year: 30-Jun-2023,Financial Year: 30-Jun-2023,Financial Year: 30-Jun-2023,Financial Year: 30-Jun-2023,Financial Year: 30-Jun-2023,Financial Year: 30-Jun-2023,Financial Year: 30-Jun-2023,Financial Year: 30-Jun-2023,Financial Year: 30-Jun-2023,Financial Year: 30-Jun-2023,Financial Year: 30-Jun-2023,Financial Year: 30-Jun-2023,Financial Year: 30-Jun-2023,Financial Year: 30-Jun-2023,Financial Year: 30-Jun-2023,Financial Year: 30-Jun-2023,Financial Year: 30-Jun-2023,Financial Year: 30-Jun-2023,Financial Year: 30-Jun-2023,Financial Year: 30-Jun-2023,Financial Year: 30-Jun-2023,Financial Year: 30-Jun-2023,Financial Year: 30-Jun-2023,Financial Year: 30-Jun-2023,Financial Year: 30-Jun-2023,Financial Year: 30-Jun-2023,Financial Year: 30-Jun-2023,Financial Year: 30-Jun-2023,Financial Year: 30-Jun-2023,Financial Year: 30-Jun-2023,Financial Year: 30-Jun-2023,Financial Year: 30-Jun-2023,Financial Year: 30-Jun-2023,Financial Year: 30-Jun-2023,Financial Year: 30-Jun-2023,Financial Year: 30-Jun-2023,Financial Year: 30-Jun-2023
