Date,Date,Financial Result,Financial Result,Financial Result,Financial Result,Financial Ratio,Financial Ratio,Per Share Item,Per Share Item,Per Share Item,Performance,Performance,Unnamed: 13_level_0,Unnamed: 14_level_0,Unnamed: 15_level_0,Unnamed: 16_level_0,Unnamed: 17_level_0,Unnamed: 18_level_0,Unnamed: 19_level_0,Unnamed: 20_level_0,Unnamed: 21_level_0,Unnamed: 22_level_0,Unnamed: 23_level_0,Unnamed: 24_level_0,Unnamed: 25_level_0,Unnamed: 26_level_0,Unnamed: 27_level_0,Unnamed: 28_level_0,Unnamed: 29_level_0,Unnamed: 30_level_0,Unnamed: 31_level_0,Unnamed: 32_level_0,Unnamed: 33_level_0,Unnamed: 34_level_0,Unnamed: 35_level_0,Unnamed: 36_level_0,Unnamed: 37_level_0
Ann. Date,Quarter,Revenue,PBT,NP,NP to SH,NP Margin,ROE,EPS,DPS,NAPS,QoQ,YoY,Unnamed: 13_level_1,Unnamed: 14_level_1,Unnamed: 15_level_1,Unnamed: 16_level_1,Unnamed: 17_level_1,Unnamed: 18_level_1,Unnamed: 19_level_1,Unnamed: 20_level_1,Unnamed: 21_level_1,Unnamed: 22_level_1,Unnamed: 23_level_1,Unnamed: 24_level_1,Unnamed: 25_level_1,Unnamed: 26_level_1,Unnamed: 27_level_1,Unnamed: 28_level_1,Unnamed: 29_level_1,Unnamed: 30_level_1,Unnamed: 31_level_1,Unnamed: 32_level_1,Unnamed: 33_level_1,Unnamed: 34_level_1,Unnamed: 35_level_1,Unnamed: 36_level_1,Unnamed: 37_level_1
Financial Year: 31-Dec-2023,Financial Year: 31-Dec-2023,Financial Year: 31-Dec-2023,Financial Year: 31-Dec-2023,Financial Year: 31-Dec-2023,Financial Year: 31-Dec-2023,Financial Year: 31-Dec-2023,Financial Year: 31-Dec-2023,Financial Year: 31-Dec-2023,Financial Year: 31-Dec-2023,Financial Year: 31-Dec-2023,Financial Year: 31-Dec-2023,Financial Year: 31-Dec-2023,Financial Year: 31-Dec-2023,Financial Year: 31-Dec-2023,Financial Year: 31-Dec-2023,Financial Year: 31-Dec-2023,Financial Year: 31-Dec-2023,Financial Year: 31-Dec-2023,Financial Year: 31-Dec-2023,Financial Year: 31-Dec-2023,Financial Year: 31-Dec-2023,Financial Year: 31-Dec-2023,Financial Year: 31-Dec-2023,Financial Year: 31-Dec-2023,Financial Year: 31-Dec-2023,Financial Year: 31-Dec-2023,Financial Year: 31-Dec-2023,Financial Year: 31-Dec-2023,Financial Year: 31-Dec-2023,Financial Year: 31-Dec-2023,Financial Year: 31-Dec-2023,Financial Year: 31-Dec-2023,Financial Year: 31-Dec-2023,Financial Year: 31-Dec-2023,Financial Year: 31-Dec-2023,Financial Year: 31-Dec-2023,Financial Year: 31-Dec-2023
27-Nov-2023,30-Sep-2023,4834088,326271,260332,173109,5.39%,3.56%,14.82,0.00,4.16,-42.97%,71.91%,,,,,,,,,,,,,,,,,,,,,,,,,
29-Aug-2023,30-Jun-2023,4484870,475950,385391,303551,8.59%,6.48%,25.98,0.00,4.01,125.76%,183.19%,,,,,,,,,,,,,,,,,,,,,,,,,
26-May-2023,31-Mar-2023,4379581,250731,203722,134460,4.65%,3.09%,11.51,0.00,3.73,26.90%,32.86%,,,,,,,,,,,,,,,,,,,,,,,,,
Financial Year: 31-Dec-2022,Financial Year: 31-Dec-2022,Financial Year: 31-Dec-2022,Financial Year: 31-Dec-2022,Financial Year: 31-Dec-2022,Financial Year: 31-Dec-2022,Financial Year: 31-Dec-2022,Financial Year: 31-Dec-2022,Financial Year: 31-Dec-2022,Financial Year: 31-Dec-2022,Financial Year: 31-Dec-2022,Financial Year: 31-Dec-2022,Financial Year: 31-Dec-2022,Financial Year: 31-Dec-2022,Financial Year: 31-Dec-2022,Financial Year: 31-Dec-2022,Financial Year: 31-Dec-2022,Financial Year: 31-Dec-2022,Financial Year: 31-Dec-2022,Financial Year: 31-Dec-2022,Financial Year: 31-Dec-2022,Financial Year: 31-Dec-2022,Financial Year: 31-Dec-2022,Financial Year: 31-Dec-2022,Financial Year: 31-Dec-2022,Financial Year: 31-Dec-2022,Financial Year: 31-Dec-2022,Financial Year: 31-Dec-2022,Financial Year: 31-Dec-2022,Financial Year: 31-Dec-2022,Financial Year: 31-Dec-2022,Financial Year: 31-Dec-2022,Financial Year: 31-Dec-2022,Financial Year: 31-Dec-2022,Financial Year: 31-Dec-2022,Financial Year: 31-Dec-2022,Financial Year: 31-Dec-2022,Financial Year: 31-Dec-2022
27-Feb-2023,31-Dec-2022,4375368,218637,172162,105954,3.93%,2.44%,9.07,11.20,3.72,5.22%,-55.85%,,,,,,,,,,,,,,,,,,,,,,,,,
29-Nov-2022,30-Sep-2022,4057465,231485,159361,100697,3.93%,2.34%,8.62,0.00,3.68,-6.06%,310.23%,,,,,,,,,,,,,,,,,,,,,,,,,
26-Aug-2022,30-Jun-2022,3730842,230047,173528,107189,4.65%,2.57%,9.17,0.00,3.57,5.91%,607.98%,,,,,,,,,,,,,,,,,,,,,,,,,
24-May-2022,31-Mar-2022,3650756,216289,172805,101206,4.73%,2.46%,8.66,0.00,3.52,-57.82%,4.05%,,,,,,,,,,,,,,,,,,,,,,,,,
