Date,Date,Financial Result,Financial Result,Financial Result,Financial Result,Financial Ratio,Financial Ratio,Per Share Item,Per Share Item,Per Share Item,Performance,Performance,Unnamed: 13_level_0,Unnamed: 14_level_0,Unnamed: 15_level_0,Unnamed: 16_level_0,Unnamed: 17_level_0,Unnamed: 18_level_0,Unnamed: 19_level_0,Unnamed: 20_level_0,Unnamed: 21_level_0,Unnamed: 22_level_0,Unnamed: 23_level_0,Unnamed: 24_level_0,Unnamed: 25_level_0,Unnamed: 26_level_0,Unnamed: 27_level_0,Unnamed: 28_level_0,Unnamed: 29_level_0,Unnamed: 30_level_0,Unnamed: 31_level_0,Unnamed: 32_level_0,Unnamed: 33_level_0,Unnamed: 34_level_0,Unnamed: 35_level_0,Unnamed: 36_level_0,Unnamed: 37_level_0
Ann. Date,Quarter,Revenue,PBT,NP,NP to SH,NP Margin,ROE,EPS,DPS,NAPS,QoQ,YoY,Unnamed: 13_level_1,Unnamed: 14_level_1,Unnamed: 15_level_1,Unnamed: 16_level_1,Unnamed: 17_level_1,Unnamed: 18_level_1,Unnamed: 19_level_1,Unnamed: 20_level_1,Unnamed: 21_level_1,Unnamed: 22_level_1,Unnamed: 23_level_1,Unnamed: 24_level_1,Unnamed: 25_level_1,Unnamed: 26_level_1,Unnamed: 27_level_1,Unnamed: 28_level_1,Unnamed: 29_level_1,Unnamed: 30_level_1,Unnamed: 31_level_1,Unnamed: 32_level_1,Unnamed: 33_level_1,Unnamed: 34_level_1,Unnamed: 35_level_1,Unnamed: 36_level_1,Unnamed: 37_level_1
Financial Year: 31-Dec-2024,Financial Year: 31-Dec-2024,Financial Year: 31-Dec-2024,Financial Year: 31-Dec-2024,Financial Year: 31-Dec-2024,Financial Year: 31-Dec-2024,Financial Year: 31-Dec-2024,Financial Year: 31-Dec-2024,Financial Year: 31-Dec-2024,Financial Year: 31-Dec-2024,Financial Year: 31-Dec-2024,Financial Year: 31-Dec-2024,Financial Year: 31-Dec-2024,Financial Year: 31-Dec-2024,Financial Year: 31-Dec-2024,Financial Year: 31-Dec-2024,Financial Year: 31-Dec-2024,Financial Year: 31-Dec-2024,Financial Year: 31-Dec-2024,Financial Year: 31-Dec-2024,Financial Year: 31-Dec-2024,Financial Year: 31-Dec-2024,Financial Year: 31-Dec-2024,Financial Year: 31-Dec-2024,Financial Year: 31-Dec-2024,Financial Year: 31-Dec-2024,Financial Year: 31-Dec-2024,Financial Year: 31-Dec-2024,Financial Year: 31-Dec-2024,Financial Year: 31-Dec-2024,Financial Year: 31-Dec-2024,Financial Year: 31-Dec-2024,Financial Year: 31-Dec-2024,Financial Year: 31-Dec-2024,Financial Year: 31-Dec-2024,Financial Year: 31-Dec-2024,Financial Year: 31-Dec-2024,Financial Year: 31-Dec-2024
28-Feb-2025,31-Dec-2024,511214,-52077,-69022,-68054,-13.50%,-2.71%,-10.44,0.00,3.85,24.62%,-24.08%,,,,,,,,,,,,,,,,,,,,,,,,,
26-Nov-2024,30-Sep-2024,462655,-103755,-89125,-90284,-19.26%,-3.52%,-13.85,0.00,3.93,-125.10%,-78.09%,,,,,,,,,,,,,,,,,,,,,,,,,
30-Aug-2024,30-Jun-2024,545086,-42297,-42941,-40109,-7.88%,-1.50%,-6.15,0.00,4.10,-155.16%,-121.18%,,,,,,,,,,,,,,,,,,,,,,,,,
24-May-2024,31-Mar-2024,563700,-16148,-19717,-15719,-3.50%,-0.58%,-2.41,1.00,4.17,71.34%,-210.35%,,,,,,,,,,,,,,,,,,,,,,,,,
Financial Year: 31-Dec-2023,Financial Year: 31-Dec-2023,Financial Year: 31-Dec-2023,Financial Year: 31-Dec-2023,Financial Year: 31-Dec-2023,Financial Year: 31-Dec-2023,Financial Year: 31-Dec-2023,Financial Year: 31-Dec-2023,Financial Year: 31-Dec-2023,Financial Year: 31-Dec-2023,Financial Year: 31-Dec-2023,Financial Year: 31-Dec-2023,Financial Year: 31-Dec-2023,Financial Year: 31-Dec-2023,Financial Year: 31-Dec-2023,Financial Year: 31-Dec-2023,Financial Year: 31-Dec-2023,Financial Year: 31-Dec-2023,Financial Year: 31-Dec-2023,Financial Year: 31-Dec-2023,Financial Year: 31-Dec-2023,Financial Year: 31-Dec-2023,Financial Year: 31-Dec-2023,Financial Year: 31-Dec-2023,Financial Year: 31-Dec-2023,Financial Year: 31-Dec-2023,Financial Year: 31-Dec-2023,Financial Year: 31-Dec-2023,Financial Year: 31-Dec-2023,Financial Year: 31-Dec-2023,Financial Year: 31-Dec-2023,Financial Year: 31-Dec-2023,Financial Year: 31-Dec-2023,Financial Year: 31-Dec-2023,Financial Year: 31-Dec-2023,Financial Year: 31-Dec-2023,Financial Year: 31-Dec-2023,Financial Year: 31-Dec-2023
29-Feb-2024,31-Dec-2023,643830,-63312,-54285,-54847,-8.43%,-2.00%,-8.41,0.00,4.20,-8.19%,-22.67%,,,,,,,,,,,,,,,,,,,,,,,,,
27-Nov-2023,30-Sep-2023,649820,-52331,-53804,-50696,-8.28%,-1.82%,-7.78,0.00,4.28,-179.56%,-837.07%,,,,,,,,,,,,,,,,,,,,,,,,,
28-Aug-2023,30-Jun-2023,619191,-8049,-20017,-18134,-3.23%,-0.64%,-2.78,0.00,4.37,-258.03%,-390.42%,,,,,,,,,,,,,,,,,,,,,,,,,
24-May-2023,31-Mar-2023,619885,2549,-5745,-5065,-0.93%,-0.18%,-0.78,1.00,4.41,88.67%,74.05%,,,,,,,,,,,,,,,,,,,,,,,,,
Financial Year: 31-Dec-2022,Financial Year: 31-Dec-2022,Financial Year: 31-Dec-2022,Financial Year: 31-Dec-2022,Financial Year: 31-Dec-2022,Financial Year: 31-Dec-2022,Financial Year: 31-Dec-2022,Financial Year: 31-Dec-2022,Financial Year: 31-Dec-2022,Financial Year: 31-Dec-2022,Financial Year: 31-Dec-2022,Financial Year: 31-Dec-2022,Financial Year: 31-Dec-2022,Financial Year: 31-Dec-2022,Financial Year: 31-Dec-2022,Financial Year: 31-Dec-2022,Financial Year: 31-Dec-2022,Financial Year: 31-Dec-2022,Financial Year: 31-Dec-2022,Financial Year: 31-Dec-2022,Financial Year: 31-Dec-2022,Financial Year: 31-Dec-2022,Financial Year: 31-Dec-2022,Financial Year: 31-Dec-2022,Financial Year: 31-Dec-2022,Financial Year: 31-Dec-2022,Financial Year: 31-Dec-2022,Financial Year: 31-Dec-2022,Financial Year: 31-Dec-2022,Financial Year: 31-Dec-2022,Financial Year: 31-Dec-2022,Financial Year: 31-Dec-2022,Financial Year: 31-Dec-2022,Financial Year: 31-Dec-2022,Financial Year: 31-Dec-2022,Financial Year: 31-Dec-2022,Financial Year: 31-Dec-2022,Financial Year: 31-Dec-2022
28-Feb-2023,31-Dec-2022,738782,-37952,-43190,-44711,-5.85%,-1.53%,-6.86,0.00,4.48,-750.06%,-203.31%,,,,,,,,,,,,,,,,,,,,,,,,,
22-Nov-2022,30-Sep-2022,729872,15727,5360,6878,0.73%,0.25%,1.05,1.50,4.22,10.15%,115.56%,,,,,,,,,,,,,,,,,,,,,,,,,
29-Aug-2022,30-Jun-2022,814280,21377,4410,6244,0.54%,0.23%,0.96,0.00,4.23,131.99%,128.11%,,,,,,,,,,,,,,,,,,,,,,,,,
24-May-2022,31-Mar-2022,769301,-13317,-21441,-19521,-2.79%,-0.70%,-2.99,1.50,4.25,-145.11%,-352.37%,,,,,,,,,,,,,,,,,,,,,,,,,
Financial Year: 31-Dec-2021,Financial Year: 31-Dec-2021,Financial Year: 31-Dec-2021,Financial Year: 31-Dec-2021,Financial Year: 31-Dec-2021,Financial Year: 31-Dec-2021,Financial Year: 31-Dec-2021,Financial Year: 31-Dec-2021,Financial Year: 31-Dec-2021,Financial Year: 31-Dec-2021,Financial Year: 31-Dec-2021,Financial Year: 31-Dec-2021,Financial Year: 31-Dec-2021,Financial Year: 31-Dec-2021,Financial Year: 31-Dec-2021,Financial Year: 31-Dec-2021,Financial Year: 31-Dec-2021,Financial Year: 31-Dec-2021,Financial Year: 31-Dec-2021,Financial Year: 31-Dec-2021,Financial Year: 31-Dec-2021,Financial Year: 31-Dec-2021,Financial Year: 31-Dec-2021,Financial Year: 31-Dec-2021,Financial Year: 31-Dec-2021,Financial Year: 31-Dec-2021,Financial Year: 31-Dec-2021,Financial Year: 31-Dec-2021,Financial Year: 31-Dec-2021,Financial Year: 31-Dec-2021,Financial Year: 31-Dec-2021,Financial Year: 31-Dec-2021,Financial Year: 31-Dec-2021,Financial Year: 31-Dec-2021,Financial Year: 31-Dec-2021,Financial Year: 31-Dec-2021,Financial Year: 31-Dec-2021,Financial Year: 31-Dec-2021
28-Feb-2022,31-Dec-2021,866921,56958,46053,43279,5.31%,1.55%,6.64,0.00,4.28,197.91%,162.16%,,,,,,,,,,,,,,,,,,,,,,,,,
23-Nov-2021,30-Sep-2021,439275,-42674,-46720,-44202,-10.64%,-1.61%,-6.78,0.00,4.20,-99.02%,-502.70%,,,,,,,,,,,,,,,,,,,,,,,,,
