Ann. Date,Quarter,Revenue,PBT,NP,NP to SH,NP Margin,ROE,EPS,DPS,NAPS,QoQ,YoY,Company
2025-03-12,2025-01-31,602080,34832,26227,24144,4.36%,3.71%,2.07,1.75,0.5584,-40.16%,-65.75%,Bermaz Auto Berhad
2024-12-12,2024-10-31,646861,57050,42711,40348,6.60%,5.41%,3.45,10.00,0.6374,-42.54%,-55.22%,Bermaz Auto Berhad
2024-09-11,2024-07-31,846180,97769,75378,70217,8.91%,9.40%,6.01,3.50,0.6398,-22.17%,-29.94%,Bermaz Auto Berhad
2024-06-11,2024-04-30,937525,130570,99583,90224,10.62%,10.99%,7.73,11.75,0.7033,27.97%,-10.33%,Bermaz Auto Berhad
2024-03-13,2024-01-31,896505,95069,74525,70503,8.31%,9.00%,6.04,4.25,0.6708,-21.75%,-19.23%,Bermaz Auto Berhad
2023-12-12,2023-10-31,1006951,122834,95721,90096,9.51%,11.71%,7.73,5.00,0.6604,-10.10%,37.19%,Bermaz Auto Berhad
2023-09-12,2023-07-31,1089278,140667,107901,100219,9.91%,13.61%,8.59,5.00,0.631,-0.40%,99.80%,Bermaz Auto Berhad
2023-06-12,2023-04-30,1072399,139533,107614,100622,10.03%,13.21%,8.63,11.00,0.6536,15.28%,27.85%,Bermaz Auto Berhad
2023-03-13,2023-01-31,975967,115516,92184,87288,9.45%,12.34%,7.50,4.50,0.6078,32.91%,114.41%,Bermaz Auto Berhad
2022-12-08,2022-10-31,782969,91589,70808,65673,9.04%,9.94%,5.65,3.50,0.5688,30.93%,152.21%,Bermaz Auto Berhad
2022-09-12,2022-07-31,716869,74566,56616,50159,7.90%,7.96%,4.32,3.00,0.542,-36.27%,388.55%,Bermaz Auto Berhad
2022-06-13,2022-04-30,897361,115432,80845,78704,9.01%,12.41%,6.77,4.50,0.5458,93.32%,17.77%,Bermaz Auto Berhad
2022-03-10,2022-01-31,623130,55112,42722,40711,6.86%,7.01%,3.50,2.25,0.4996,56.35%,23.06%,Bermaz Auto Berhad
2021-12-13,2021-10-31,483838,33549,24922,26039,5.15%,4.68%,2.24,1.50,0.4794,153.62%,5.04%,Bermaz Auto Berhad
