"Date","Price","Open","High","Low","Vol.","Change %"
"02/08/2024","4.97","4.95","4.97","4.94","48.60K","0.40%"
"02/07/2024","4.95","4.94","4.96","4.94","98.80K","0.20%"
"02/06/2024","4.94","4.93","4.94","4.93","65.90K","-0.60%"
"02/05/2024","4.97","4.92","4.97","4.92","208.60K","1.02%"
"02/02/2024","4.92","4.92","4.93","4.92","56.10K","-0.20%"
"01/31/2024","4.93","4.94","4.94","4.93","184.30K","-1.00%"
"01/30/2024","4.98","4.96","4.99","4.95","177.40K","-0.20%"
"01/29/2024","4.99","4.98","4.99","4.98","159.10K","0.20%"
"01/26/2024","4.98","4.98","4.99","4.98","83.70K","0.00%"
"01/24/2024","4.98","4.97","4.99","4.97","351.30K","0.00%"
"01/23/2024","4.98","4.98","4.99","4.98","105.00K","0.00%"
"01/22/2024","4.98","4.98","4.99","4.98","297.80K","0.00%"
"01/19/2024","4.98","4.98","4.99","4.98","67.00K","-0.20%"
"01/18/2024","4.99","4.98","4.99","4.98","180.30K","0.00%"
"01/17/2024","4.99","4.98","4.99","4.98","564.40K","0.20%"
"01/16/2024","4.98","5.00","5.00","4.98","174.40K","-0.40%"
"01/15/2024","5.00","4.99","5.01","4.99","244.10K","0.00%"
"01/12/2024","5.00","5.00","5.01","4.99","4.57M","0.00%"
"01/11/2024","5.00","5.00","5.01","4.99","3.05M","-0.20%"
"01/10/2024","5.01","4.99","5.01","4.99","4.37M","0.20%"
"01/09/2024","5.00","4.99","5.01","4.99","8.51M","0.00%"
"01/08/2024","5.00","4.99","5.00","4.99","8.49M","0.00%"
"01/05/2024","5.00","4.99","5.01","4.99","6.62M","0.00%"
"01/04/2024","5.00","4.99","5.00","4.98","4.23M","0.00%"
"01/03/2024","5.00","4.99","5.00","4.98","4.80M","0.00%"
"01/02/2024","5.00","4.99","5.00","4.99","6.70M","0.40%"
"12/29/2023","4.98","4.99","5.00","4.98","4.55M","-0.20%"
"12/28/2023","4.99","4.99","5.00","4.99","3.59M","0.00%"
"12/27/2023","4.99","4.98","4.99","4.97","3.31M","0.20%"
"12/26/2023","4.98","4.97","4.98","4.97","308.50K","0.00%"
"12/22/2023","4.98","4.97","4.98","4.97","539.70K","0.00%"
"12/21/2023","4.98","4.97","4.98","4.96","724.00K","0.20%"
"12/20/2023","4.97","4.97","4.97","4.96","395.70K","0.20%"
"12/19/2023","4.96","4.98","4.98","4.96","900.10K","0.00%"
"12/18/2023","4.96","4.97","4.98","4.96","576.00K","0.00%"
"12/15/2023","4.96","4.97","4.97","4.96","1.05M","0.00%"
"12/14/2023","4.96","4.97","4.97","4.96","1.09M","-0.20%"
"12/13/2023","4.97","4.96","4.97","4.96","847.40K","0.40%"
"12/12/2023","4.95","4.95","4.96","4.95","920.60K","-0.20%"
"12/11/2023","4.96","4.96","4.96","4.95","866.00K","0.00%"
"12/08/2023","4.96","4.95","4.96","4.95","588.70K","0.20%"
"12/07/2023","4.95","4.95","4.96","4.95","4.33M","0.20%"
"12/06/2023","4.94","4.91","4.95","4.89","7.79M","0.82%"
"12/05/2023","4.90","4.91","4.92","4.90","1.41M","-0.20%"
"12/04/2023","4.91","4.91","4.92","4.90","623.30K","0.00%"
"12/01/2023","4.91","4.91","4.92","4.90","344.40K","0.20%"
"11/30/2023","4.90","4.90","4.92","4.90","1.42M","0.00%"
"11/29/2023","4.90","4.90","4.91","4.90","336.60K","0.00%"
"11/28/2023","4.90","4.91","4.91","4.90","1.33M","0.00%"
"11/27/2023","4.90","4.90","4.90","4.89","526.70K","-0.20%"
"11/24/2023","4.91","4.92","4.92","4.90","746.50K","0.00%"
"11/23/2023","4.91","4.91","4.92","4.90","404.20K","0.00%"
"11/22/2023","4.91","4.90","4.92","4.90","395.30K","0.20%"
"11/21/2023","4.90","4.91","4.91","4.90","473.80K","-0.20%"
"11/20/2023","4.91","4.90","4.92","4.90","377.60K","0.00%"
"11/17/2023","4.91","4.92","4.92","4.89","3.42M","-0.20%"
"11/16/2023","4.92","4.88","4.92","4.88","1.21M","0.82%"
"11/15/2023","4.88","4.91","4.92","4.88","1.12M","-0.41%"
"11/14/2023","4.90","4.87","4.92","4.87","1.07M","0.62%"
"11/10/2023","4.87","4.86","4.88","4.85","1.09M","0.21%"
"11/09/2023","4.86","4.85","4.87","4.85","991.40K","0.00%"
